zone_id,symbol,generated_ts,zone_low,zone_high,zone_center,zone_size_bps,zone_volume,respected_strict_6h,respected_soft_6h,wicked_below_6h,wicked_above_6h,max_close_excursion_bps_6h,respected_strict_12h,respected_soft_12h,wicked_below_12h,wicked_above_12h,max_close_excursion_bps_12h,respected_strict_24h,respected_soft_24h,wicked_below_24h,wicked_above_24h,max_close_excursion_bps_24h
ETHUSDT_002482,ETHUSDT,2025-11-21T00:00:00,3398.4224999999997,3459.46375,3428.943125,178.01768001036825,10146234.686794542,False,False,False,False,2073.4741699747487,False,False,False,False,2073.4741699747487,False,False,False,False,2073.4741699747487
ETHUSDT_002483,ETHUSDT,2025-11-22T00:00:00,3096.291666666667,3232.375,3164.3333333333335,430.05372379648065,23184980.406979926,False,False,False,False,1144.922574528601,False,False,False,False,1144.922574528601,False,False,False,False,1144.922574528601
ETHUSDT_002484,ETHUSDT,2025-11-22T00:00:00,3844.75,3912.791666666667,3878.7708333333335,175.42069276671702,11737670.38271021,False,False,False,False,2863.6649282150165,False,False,False,False,2863.6649282150165,False,False,False,False,2863.6649282150165
ETHUSDT_002485,ETHUSDT,2025-11-22T00:00:00,3368.458333333334,3436.5,3402.479166666667,199.97673265204727,11113828.592640517,False,False,False,False,1864.6942486789671,False,False,False,False,1864.6942486789671,False,False,False,False,1864.6942486789671
ETHUSDT_002486,ETHUSDT,2025-11-23T00:00:00,3028.25,3232.375,3130.3125,652.0914445442747,32884279.89589238,False,False,False,False,754.2058500549072,False,False,False,False,754.2058500549072,False,False,False,False,754.2058500549072
ETHUSDT_002487,ETHUSDT,2025-11-23T00:00:00,3368.458333333334,3436.5,3402.479166666667,199.97673265204727,11113828.592640517,False,False,False,False,1693.7600646587375,False,False,False,False,1693.7600646587375,False,False,False,False,1693.7600646587375
ETHUSDT_002488,ETHUSDT,2025-11-24T00:00:00,3028.25,3232.375,3130.3125,652.0914445442747,32884279.89589238,False,False,False,False,722.5476689627627,False,False,False,False,722.5476689627627,False,False,False,False,722.5476689627627
ETHUSDT_002489,ETHUSDT,2025-11-24T00:00:00,3368.458333333334,3436.5,3402.479166666667,199.97673265204727,11113828.592640517,False,False,False,False,1664.6342434131986,False,False,False,False,1664.6342434131986,False,False,False,False,1664.6342434131986
ETHUSDT_002490,ETHUSDT,2025-11-25T00:00:00,3028.25,3232.375,3130.3125,652.0914445442747,32884279.89589238,False,False,False,False,443.1506439053602,False,False,False,False,443.1506439053602,False,False,False,False,443.1506439053602
ETHUSDT_002491,ETHUSDT,2025-11-25T00:00:00,3368.458333333334,3436.5,3402.479166666667,199.97673265204727,11113828.592640517,False,False,False,False,1407.586380029269,False,False,False,False,1407.586380029269,False,False,False,False,1407.586380029269
ETHUSDT_002492,ETHUSDT,2025-11-26T00:00:00,3028.25,3232.375,3130.3125,652.0914445442747,32884279.89589238,False,False,False,False,368.749126484975,False,False,False,False,368.749126484975,False,False,False,False,368.749126484975
ETHUSDT_002493,ETHUSDT,2025-11-26T00:00:00,3368.458333333334,3436.5,3402.479166666667,199.97673265204727,11113828.592640517,False,False,False,False,1339.1362915521172,False,False,False,False,1339.1362915521172,False,False,False,False,1339.1362915521172
ETHUSDT_002494,ETHUSDT,2025-11-27T00:00:00,3008.52,3202.7799999999997,3105.6499999999996,625.5051277510337,32278793.10812269,True,True,False,False,0.0,False,True,True,False,0.0,False,True,False,False,26.983079226571284
ETHUSDT_002495,ETHUSDT,2025-11-27T00:00:00,3397.04,3461.793333333333,3429.4166666666665,188.8173401696103,10688016.356462393,False,False,False,False,1079.7463125410054,False,False,False,False,1129.5215415644063,False,False,False,False,1157.3396836196634
ETHUSDT_002496,ETHUSDT,2025-11-28T00:00:00,2914.789583333333,3032.7054166666667,2973.7475,396.5226816780291,21019712.536505572,False,True,False,True,0.0,False,True,False,False,131.36482950665214,False,True,False,False,131.36482950665214
