variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_ann_bps_at_entry,funding_z_at_entry,poc_distance_atr_at_entry
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-09-12 00:00:00,25782.300000,2023-09-17 08:00:00,26563.700000,0.029076,32,asym_take_profit,-569.509,-1.733,0.969
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2023-12-21 00:00:00,43688.900000,2024-01-02 00:00:00,45489.700000,-0.042347,72,asym_hard_stop,3551.195,2.037,0.018
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2024-02-26 00:00:00,51585.900000,2024-02-26 12:00:00,52890.000000,-0.026477,3,asym_hard_stop,3875.753,2.268,0.542
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-04-17 08:00:00,62596.000000,2024-04-22 16:00:00,66515.400000,0.061382,32,asym_take_profit,-535.236,-1.551,0.732
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-06-13 16:00:00,66577.400000,2024-06-17 08:00:00,65750.100000,-0.013648,22,asym_hard_stop,-293.132,-1.950,0.586
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-08-20 16:00:00,59484.200000,2024-08-23 20:00:00,64068.000000,0.075840,19,asym_take_profit,-603.016,-1.537,0.171
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-09-16 08:00:00,58637.200000,2024-09-19 20:00:00,62944.800000,0.072241,21,asym_take_profit,-686.784,-1.562,0.053
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-10-06 20:00:00,62787.900000,2024-10-09 16:00:00,60960.000000,-0.030329,17,asym_hard_stop,-638.604,-1.516,0.970
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2024-12-02 04:00:00,96106.700000,2024-12-04 20:00:00,98773.900000,-0.028936,16,asym_hard_stop,4527.168,2.037,0.001
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2024-12-22 08:00:00,97032.100000,2024-12-23 12:00:00,93128.100000,-0.041441,7,asym_hard_stop,-169.944,-1.506,0.049
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-02-03 16:00:00,101973.900000,2025-02-05 04:00:00,97848.900000,-0.041661,9,asym_hard_stop,-1751.124,-3.138,0.009
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2025-02-22 00:00:00,96255.000000,2025-02-24 20:00:00,91510.000000,0.048113,17,asym_take_profit,3675.696,5.487,0.448
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-04-13 20:00:00,83697.900000,2025-04-21 00:00:00,87150.000000,0.040002,43,asym_take_profit,-781.721,-1.675,0.988
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-05-17 00:00:00,103497.300000,2025-05-22 00:00:00,111799.800000,0.078989,30,asym_take_profit,-760.587,-2.129,0.005
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-06-01 00:00:00,104390.000000,2025-06-05 16:00:00,101878.400000,-0.025288,28,asym_hard_stop,-409.202,-1.661,0.461
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-06-23 20:00:00,105374.800000,2025-06-29 08:00:00,108492.000000,0.028349,33,asym_take_profit,-403.946,-1.781,0.051
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-07-01 12:00:00,105941.400000,2025-07-06 08:00:00,108070.000000,0.018863,29,asym_take_profit,-344.706,-1.603,0.767
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-09-25 04:00:00,111748.400000,2025-09-25 16:00:00,109357.700000,-0.022597,3,asym_hard_stop,-1206.142,-3.371,0.990
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-10-11 00:00:00,112404.100000,2025-10-16 12:00:00,108539.100000,-0.035618,33,asym_hard_stop,-12890.231,-14.981,0.129
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-12-11 08:00:00,90223.200000,2025-12-14 12:00:00,88994.700000,-0.014835,19,asym_hard_stop,-1052.733,-2.268,0.697
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2025-12-18 00:00:00,86550.000000,2025-12-22 08:00:00,89877.200000,0.037217,26,asym_take_profit,-879.614,-1.919,0.160
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2025-12-25 00:00:00,87763.600000,2025-12-29 00:00:00,90024.800000,-0.026941,24,asym_hard_stop,1095.000,1.600,0.894
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2026-01-01 00:00:00,87699.800000,2026-01-01 20:00:00,88696.100000,-0.012555,5,asym_hard_stop,1095.000,1.569,0.481
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2026-02-22 16:00:00,67372.900000,2026-02-23 00:00:00,64888.800000,-0.038073,2,asym_hard_stop,-611.120,-1.519,0.706
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2026-03-06 16:00:00,68091.400000,2026-03-08 20:00:00,65933.200000,-0.032909,13,asym_hard_stop,-761.244,-1.520,0.416
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2026-04-06 08:00:00,69572.200000,2026-04-07 20:00:00,71885.900000,-0.034447,9,asym_hard_stop,1095.000,1.583,0.993
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2026-04-12 16:00:00,71082.000000,2026-04-14 12:00:00,75309.500000,0.058263,11,asym_take_profit,-898.229,-1.623,0.322
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2026-06-23 08:00:00,62406.300000,2026-06-24 12:00:00,60158.800000,-0.037221,7,asym_hard_stop,-879.504,-2.123,0.447
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2026-07-02 04:00:00,60055.300000,2026-07-03 04:00:00,61662.000000,-0.027948,6,asym_hard_stop,934.583,1.522,0.190
vpvr_funding_asym_4h_20260713,ETHUSDT,short,2026-07-07 00:00:00,63114.900000,2026-07-10 08:00:00,64349.400000,-0.020740,20,asym_hard_stop,1095.000,1.726,0.692
