offset_bps,patience_bars,maker_fee_bps,taker_fee_bps,taker_slip_bps,queue_mult,n_sampled,skipped,fill_rate,avg_rt_bps,trade_win_rate,trade_pf,sharpe_daily_interp,annualized_return_interp
0.0,5,0.0,4.0,2.0,10.0,4518,0,0.6651726427622842,0.6815404312864113,0.40017706949977866,1.001180545950098,1.4342236975637037,0.2680809668861267
0.0,5,0.5,4.0,2.0,1.0,4518,0,0.665227976980965,2.008598828004459,0.35480301018149624,0.8499406225755288,1.4011099837004257,0.26072549473324497
0.0,5,0.5,4.0,2.0,10.0,4518,0,0.6651726427622842,2.0118857168109803,0.35480301018149624,0.84956630605875,1.4010280015348946,0.260707433798865
0.0,5,1.0,4.0,2.0,1.0,4518,0,0.665227976980965,3.3390547819663885,0.31894643647631693,0.7265314805841342,1.3679255145351594,0.2534148495929877
0.0,5,1.0,4.0,2.0,10.0,4518,0,0.6651726427622842,3.342231002335549,0.31894643647631693,0.7262034773828958,1.367846292681487,0.2533973967641759
0.0,5,2.0,4.0,2.0,1.0,4518,0,0.665227976980965,5.9999666898902495,0.2824258521469677,0.5423775114566136,1.301577957983397,0.23888904212315565
0.0,5,2.0,4.0,2.0,10.0,4518,0,0.6651726427622842,6.002921573384686,0.2824258521469677,0.5421228100891442,1.3015043198189298,0.23887308485247688
1.0,1,0.0,4.0,2.0,1.0,4518,0,0.506252766710934,8.232081459028345,0.29814077025232405,0.4463592008071105,1.2459545837517538,0.22684702097388781
1.0,1,0.0,4.0,2.0,10.0,4518,0,0.5061420982735724,8.23621479554284,0.29814077025232405,0.44611875002156715,1.2458516229234031,0.22682489583461524
1.0,1,0.5,4.0,2.0,1.0,4518,0,0.506252766710934,9.244586992450213,0.28043382027445773,0.403296372275866,1.2207332140265832,0.22142722854647612
1.0,1,0.5,4.0,2.0,10.0,4518,0,0.5061420982735724,9.248498992089987,0.28043382027445773,0.40308337863196786,1.220635766668497,0.22140628819077057
1.0,1,1.0,4.0,2.0,1.0,4518,0,0.506252766710934,10.257092525872082,0.2600708277999115,0.3654988743859874,1.1955146560447358,0.21601939412611024
1.0,1,1.0,4.0,2.0,10.0,4518,0,0.5061420982735724,10.260783188637134,0.2598494909251881,0.3653117571263112,1.1954227625205787,0.21599981021579345
1.0,1,2.0,4.0,2.0,1.0,4518,0,0.506252766710934,12.28210359271582,0.23439575033200533,0.30278651043569843,1.1450971717762735,0.20528700521370688
1.0,1,2.0,4.0,2.0,10.0,4518,0,0.5061420982735724,12.285351581731422,0.234174413457282,0.3026578941633199,1.145016336137944,0.20526992004418299
1.0,2,0.0,4.0,2.0,1.0,4518,0,0.5493581230633023,7.416012170494449,0.3154050464807437,0.48829170232047886,1.266289093601934,0.23124271924880757
1.0,2,0.0,4.0,2.0,10.0,4518,0,0.5492474546259407,7.4198868408761145,0.3154050464807437,0.4880572328336331,1.2661925340506315,0.23122179691610908
1.0,2,0.5,4.0,2.0,1.0,4518,0,0.5493581230633023,8.514728416621052,0.2917220008853475,0.43724288902450603,1.2389138879887904,0.22533405359758643
1.0,2,0.5,4.0,2.0,10.0,4518,0,0.5492474546259407,8.518381750127997,0.2917220008853475,0.437038365299655,1.238822883967512,0.22531449784344768
1.0,2,1.0,4.0,2.0,1.0,4518,0,0.5493581230633023,9.613444662747655,0.2687029659141213,0.3929599715473772,1.2115450215955788,0.21945278797081375
1.0,2,1.0,4.0,2.0,10.0,4518,0,0.5492474546259407,9.616876659379875,0.2687029659141213,0.3927813392513436,1.211459531044565,0.21943441700024202
1.0,2,2.0,4.0,2.0,1.0,4518,0,0.5493581230633023,11.810877155000869,0.2405931828242585,0.32051405066406974,1.1568270938257836,0.20777448507709778
1.0,2,2.0,4.0,2.0,10.0,4518,0,0.5492474546259407,11.813866477883641,0.2405931828242585,0.3203773457279364,1.1567526629086207,0.20775862271443532
1.0,5,0.0,4.0,2.0,1.0,4518,0,0.5955068614431164,6.382533217310221,0.33665338645418325,0.5448209922704021,1.2920441267196439,0.2368232689125179
1.0,5,0.0,4.0,2.0,10.0,4518,0,0.5954515272244356,6.386151882364447,0.33643204957945994,0.5446018591382983,1.2919539470038148,0.23680372894995821
1.0,5,0.5,4.0,2.0,1.0,4518,0,0.5955068614431164,7.5735469401964535,0.30765825586542717,0.482759280572501,1.262363214706805,0.23039206757044048
1.0,5,0.5,4.0,2.0,10.0,4518,0,0.5954515272244356,7.577054936813318,0.30743691899070386,0.48257927629046404,1.2622757929274202,0.23037312519209768
1.0,5,1.0,4.0,2.0,1.0,4518,0,0.5955068614431164,8.764560663082687,0.28065515714918104,0.42958995802927397,1.2326906020419142,0.2239967385185074
1.0,5,1.0,4.0,2.0,10.0,4518,0,0.5954515272244356,8.76795799126219,0.28043382027445773,0.4294455483021772,1.2326059750771572,0.22397855312303755
1.0,5,2.0,4.0,2.0,1.0,4518,0,0.5955068614431164,11.146588108855152,0.25077467906153167,0.3438542726244346,1.1733671749427792,0.21129942840904312
