variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 10:24:00+00:00,65503.8,2024-09-27 10:30:00+00:00,65569.3,-0.001999941988098385,6,hard_stop,-1,65711.1375,64671.73333333333,3.734711286089358
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 13:15:00+00:00,65638.0,2024-09-27 13:16:00+00:00,65668.9,-0.001470763886772918,1,breakout_resume_up,-1,65652.5,64757.0,4.902235628104837
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 13:35:00+00:00,65528.8,2024-09-27 13:36:00+00:00,65450.2,0.00019947259830799344,1,take_profit,-1,65577.875,64757.0,2.582964304884609
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 13:41:00+00:00,65413.5,2024-09-27 13:57:00+00:00,65593.7,-0.0037547830340830526,16,hard_stop,-1,65732.1125,64856.5625,1.2022616327377413
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 16:25:00+00:00,65875.1,2024-09-27 16:26:00+00:00,65906.8,-0.001481213690757265,1,breakout_resume_up,-1,65878.45833333333,64849.575,9.33603964571924
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-27 17:17:00+00:00,65920.9,2024-09-27 17:21:00+00:00,65814.8,0.0006095047246016403,4,take_profit,-1,65951.95,64776.08333333333,7.834238838084702
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-28 03:20:00+00:00,66066.9,2024-09-28 03:22:00+00:00,66030.7,-0.0004520705527276672,2,take_profit,-1,66089.8375,65241.2625,9.046721417486188
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 00:01:00+00:00,65844.6,2024-09-29 00:02:00+00:00,65858.8,-0.0012156592947637481,1,breakout_resume_up,-1,65852.05833333333,65450.00833333333,5.9200846918716525
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 00:09:00+00:00,65800.6,2024-09-29 00:18:00+00:00,65891.0,-0.0023738476548845746,9,hard_stop,-1,65852.05833333333,65450.00833333333,7.579303260181893
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-09-29 00:31:00+00:00,65823.4,2024-09-29 00:33:00+00:00,65789.0,-0.0004773894997828201,2,take_profit,-1,65852.05833333333,65450.00833333333,7.531949814725027
