symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,pcr_z_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,long,2022-08-06 16:00:00,2022-08-06 16:00:00,1689.85,2022-08-10 08:00:00,2022-08-10 08:00:00,1836.84,take_profit,857.8405,0.085784,11,-1.5795,0.5816,1.0,100000.0
ETHUSDT,short,2022-08-20 00:00:00,2022-08-20 00:00:00,1646.54,2022-08-24 00:00:00,2022-08-24 00:00:00,1626.1,time_stop,112.1391,0.011214,12,1.7633,0.3276,1.0,100000.0
ETHUSDT,long,2022-08-26 00:00:00,2022-08-26 00:00:00,1659.65,2022-08-26 16:00:00,2022-08-26 16:00:00,1507.23,hard_stop,-930.3864,-0.093039,2,-1.5404,0.4767,1.0,100000.0
ETHUSDT,short,2022-09-01 16:00:00,2022-09-01 16:00:00,1585.4,2022-09-05 16:00:00,2022-09-05 16:00:00,1616.92,time_stop,-210.8142,-0.021081,12,1.8528,0.0065,1.0,100000.0
ETHUSDT,long,2022-09-06 16:00:00,2022-09-06 16:00:00,1558.23,2022-09-10 16:00:00,2022-09-10 16:00:00,1773.05,take_profit,1366.6155,0.136662,12,-1.645,0.5207,1.0,100000.0
ETHUSDT,long,2022-10-01 16:00:00,2022-10-01 16:00:00,1311.31,2022-10-05 16:00:00,2022-10-05 16:00:00,1351.61,time_stop,295.3263,0.029533,12,-2.1138,0.2219,1.0,100000.0
ETHUSDT,long,2022-10-08 00:00:00,2022-10-08 00:00:00,1329.84,2022-10-10 16:00:00,2022-10-10 16:00:00,1289.56,hard_stop,-314.8936,-0.031489,8,-1.7817,0.3156,1.0,100000.0
ETHUSDT,short,2022-10-14 00:00:00,2022-10-14 00:00:00,1321.18,2022-10-18 00:00:00,2022-10-18 00:00:00,1336.2,time_stop,-125.6863,-0.012569,12,2.1693,0.3965,1.0,100000.0
ETHUSDT,short,2022-10-22 08:00:00,2022-10-22 08:00:00,1315.58,2022-10-23 16:00:00,2022-10-23 16:00:00,1363.44,hard_stop,-375.7939,-0.037579,4,2.1552,0.4592,1.0,100000.0
ETHUSDT,short,2022-11-29 00:00:00,2022-11-29 00:00:00,1206.66,2022-11-30 00:00:00,2022-11-30 00:00:00,1272.06,hard_stop,-553.9919,-0.055399,3,2.1625,0.3043,1.0,100000.0
ETHUSDT,short,2022-12-04 16:00:00,2022-12-04 16:00:00,1278.82,2022-12-08 16:00:00,2022-12-08 16:00:00,1279.73,time_stop,-19.1159,-0.001912,12,1.7303,0.4046,1.0,100000.0
ETHUSDT,long,2022-12-09 16:00:00,2022-12-09 16:00:00,1262.31,2022-12-13 16:00:00,2022-12-13 16:00:00,1321.06,time_stop,453.4166,0.045342,12,-1.8703,0.5439,1.0,100000.0
ETHUSDT,short,2023-01-02 00:00:00,2023-01-02 00:00:00,1212.82,2023-01-04 00:00:00,2023-01-04 00:00:00,1251.77,hard_stop,-333.1524,-0.033315,6,1.5052,0.4858,1.0,100000.0
ETHUSDT,long,2023-01-24 16:00:00,2023-01-24 16:00:00,1555.99,2023-01-28 16:00:00,2023-01-28 16:00:00,1571.52,time_stop,87.8078,0.008781,12,-1.9791,0.1006,1.0,100000.0
ETHUSDT,long,2023-01-30 16:00:00,2023-01-30 16:00:00,1565.92,2023-02-03 16:00:00,2023-02-03 16:00:00,1663.68,time_stop,612.2975,0.06123,12,-1.5167,0.3068,1.0,100000.0
ETHUSDT,short,2023-02-26 16:00:00,2023-02-26 16:00:00,1640.49,2023-03-02 16:00:00,2023-03-02 16:00:00,1647.29,time_stop,-53.451,-0.005345,12,2.1852,0.171,1.0,100000.0
ETHUSDT,short,2023-03-12 16:00:00,2023-03-12 16:00:00,1579.26,2023-03-14 08:00:00,2023-03-14 08:00:00,1770.28,hard_stop,-1221.5538,-0.122155,5,2.043,0.333,1.0,100000.0
ETHUSDT,long,2023-04-02 16:00:00,2023-04-02 16:00:00,1793.56,2023-04-05 00:00:00,2023-04-05 00:00:00,1909.55,take_profit,634.7026,0.06347,7,-1.9981,0.0148,1.0,100000.0
ETHUSDT,short,2023-04-22 08:00:00,2023-04-22 08:00:00,1865.77,2023-04-26 08:00:00,2023-04-26 08:00:00,1952.98,hard_stop,-479.421,-0.047942,12,1.9722,0.2019,1.0,100000.0
ETHUSDT,long,2023-05-06 08:00:00,2023-05-06 08:00:00,1876.18,2023-05-10 08:00:00,2023-05-10 08:00:00,1871.81,time_stop,-35.292,-0.003529,12,-1.9543,0.1125,1.0,100000.0
ETHUSDT,short,2023-05-23 00:00:00,2023-05-23 00:00:00,1853.89,2023-05-24 08:00:00,2023-05-24 08:00:00,1792.51,take_profit,319.0876,0.031909,4,2.7101,0.3097,1.0,100000.0
ETHUSDT,short,2023-05-25 16:00:00,2023-05-25 16:00:00,1804.65,2023-05-28 16:00:00,2023-05-28 16:00:00,1908.36,hard_stop,-586.6821,-0.058668,9,1.524,0.0756,1.0,100000.0
ETHUSDT,long,2023-06-05 08:00:00,2023-06-05 08:00:00,1818.95,2023-06-09 08:00:00,2023-06-09 08:00:00,1840.6,time_stop,107.0247,0.010702,12,-2.4118,0.3878,1.0,100000.0
ETHUSDT,long,2023-06-24 16:00:00,2023-06-24 16:00:00,1874.48,2023-06-28 16:00:00,2023-06-28 16:00:00,1827.26,time_stop,-263.9099,-0.026391,12,-1.586,0.3036,1.0,100000.0
ETHUSDT,short,2023-06-30 00:00:00,2023-06-30 00:00:00,1886.85,2023-07-03 00:00:00,2023-07-03 00:00:00,1968.01,hard_stop,-442.1349,-0.044213,9,1.5054,0.0211,1.0,100000.0
ETHUSDT,short,2023-07-10 16:00:00,2023-07-10 16:00:00,1879.34,2023-07-13 08:00:00,2023-07-13 08:00:00,1932.36,hard_stop,-294.1203,-0.029412,8,1.5847,0.4435,1.0,100000.0
ETHUSDT,long,2023-07-22 00:00:00,2023-07-22 00:00:00,1890.79,2023-07-24 08:00:00,2023-07-24 08:00:00,1842.42,hard_stop,-267.819,-0.026782,7,-1.5571,0.0243,1.0,100000.0
ETHUSDT,long,2023-07-30 00:00:00,2023-07-30 00:00:00,1874.18,2023-08-01 00:00:00,2023-08-01 00:00:00,1833.19,hard_stop,-230.709,-0.023071,6,-1.7458,0.0845,1.0,100000.0
ETHUSDT,short,2023-08-01 16:00:00,2023-08-01 16:00:00,1873.05,2023-08-05 16:00:00,2023-08-05 16:00:00,1835.5,time_stop,188.4752,0.018848,12,1.6926,0.0252,1.0,100000.0
ETHUSDT,short,2023-09-14 00:00:00,2023-09-14 00:00:00,1620.67,2023-09-18 00:00:00,2023-09-18 00:00:00,1633.22,time_stop,-89.4371,-0.008944,12,1.8615,0.2635,1.0,100000.0
ETHUSDT,long,2023-09-20 00:00:00,2023-09-20 00:00:00,1633.84,2023-09-21 08:00:00,2023-09-21 08:00:00,1583.0,hard_stop,-323.1688,-0.032317,4,-1.5439,0.1025,1.0,100000.0
ETHUSDT,long,2023-10-04 00:00:00,2023-10-04 00:00:00,1644.25,2023-10-08 00:00:00,2023-10-08 00:00:00,1628.14,time_stop,-109.9778,-0.010998,12,-1.6147,0.4117,1.0,100000.0
ETHUSDT,long,2023-10-09 00:00:00,2023-10-09 00:00:00,1620.0,2023-10-09 16:00:00,2023-10-09 16:00:00,1579.4,hard_stop,-262.6173,-0.026262,2,-1.547,0.4981,1.0,100000.0
ETHUSDT,long,2023-10-28 16:00:00,2023-10-28 16:00:00,1776.76,2023-11-01 16:00:00,2023-11-01 16:00:00,1848.2,time_stop,390.0802,0.039008,12,-1.6455,0.0462,1.0,100000.0
ETHUSDT,long,2023-11-02 16:00:00,2023-11-02 16:00:00,1800.68,2023-11-06 08:00:00,2023-11-06 08:00:00,1901.88,take_profit,550.0099,0.055001,11,-1.6408,0.5724,1.0,100000.0
ETHUSDT,short,2023-11-19 16:00:00,2023-11-19 16:00:00,2012.46,2023-11-23 16:00:00,2023-11-23 16:00:00,2062.68,time_stop,-261.5453,-0.026155,12,2.5619,0.711,1.0,100000.0
ETHUSDT,long,2023-11-24 16:00:00,2023-11-24 16:00:00,2081.16,2023-11-27 08:00:00,2023-11-27 08:00:00,2003.15,hard_stop,-386.839,-0.038684,8,-1.7536,0.414,1.0,100000.0
ETHUSDT,long,2023-12-17 16:00:00,2023-12-17 16:00:00,2197.93,2023-12-21 16:00:00,2023-12-21 16:00:00,2241.35,time_stop,185.5495,0.018555,12,-1.8622,0.5,1.0,100000.0
ETHUSDT,long,2023-12-26 00:00:00,2023-12-26 00:00:00,2242.5,2023-12-27 16:00:00,2023-12-27 16:00:00,2380.31,take_profit,602.5373,0.060254,5,-2.4734,0.1764,1.0,100000.0
ETHUSDT,long,2024-01-03 08:00:00,2024-01-03 08:00:00,2241.02,2024-01-07 08:00:00,2024-01-07 08:00:00,2229.9,time_stop,-61.6203,-0.006162,12,-1.9174,0.0433,1.0,100000.0
ETHUSDT,short,2024-01-25 16:00:00,2024-01-25 16:00:00,2218.02,2024-01-29 16:00:00,2024-01-29 16:00:00,2316.52,hard_stop,-456.0898,-0.045609,12,2.5756,0.2963,1.0,100000.0
ETHUSDT,short,2024-02-11 00:00:00,2024-02-11 00:00:00,2526.93,2024-02-12 16:00:00,2024-02-12 16:00:00,2660.91,hard_stop,-542.2086,-0.054221,5,1.6174,0.0737,1.0,100000.0
ETHUSDT,short,2024-03-22 00:00:00,2024-03-22 00:00:00,3514.52,2024-03-26 00:00:00,2024-03-26 00:00:00,3637.91,time_stop,-363.0864,-0.036309,12,1.9035,0.016,1.0,100000.0
ETHUSDT,long,2024-03-30 16:00:00,2024-03-30 16:00:00,3508.66,2024-04-02 00:00:00,2024-04-02 00:00:00,3364.82,hard_stop,-421.9571,-0.042196,7,-1.8364,0.1512,1.0,100000.0
ETHUSDT,short,2024-04-08 00:00:00,2024-04-08 00:00:00,3476.16,2024-04-08 08:00:00,2024-04-08 08:00:00,3631.65,hard_stop,-459.3039,-0.04593,1,1.6763,0.5532,1.0,100000.0
ETHUSDT,short,2024-04-10 16:00:00,2024-04-10 16:00:00,3547.64,2024-04-13 16:00:00,2024-04-13 16:00:00,3005.46,take_profit,1516.2836,0.151628,9,1.7883,0.3796,1.0,100000.0
ETHUSDT,long,2024-04-24 16:00:00,2024-04-24 16:00:00,3138.84,2024-04-28 16:00:00,2024-04-28 16:00:00,3262.28,time_stop,381.2663,0.038127,12,-1.795,0.6597,1.0,100000.0
ETHUSDT,short,2024-05-03 08:00:00,2024-05-03 08:00:00,3074.12,2024-05-07 08:00:00,2024-05-07 08:00:00,3070.2,time_stop,0.7516,7.5e-05,12,1.5045,0.7468,1.0,100000.0
ETHUSDT,short,2024-05-09 16:00:00,2024-05-09 16:00:00,3034.75,2024-05-13 16:00:00,2024-05-13 16:00:00,2949.71,time_stop,268.2208,0.026822,12,1.9224,0.4322,1.0,100000.0
ETHUSDT,short,2024-05-17 00:00:00,2024-05-17 00:00:00,3023.58,2024-05-18 16:00:00,2024-05-18 16:00:00,3121.59,hard_stop,-336.1522,-0.033615,5,1.7086,0.4888,1.0,100000.0
ETHUSDT,short,2024-07-15 00:00:00,2024-07-15 00:00:00,3354.39,2024-07-15 16:00:00,2024-07-15 16:00:00,3481.62,hard_stop,-391.294,-0.039129,2,1.8108,0.0808,1.0,100000.0
ETHUSDT,short,2024-08-17 16:00:00,2024-08-17 16:00:00,2613.18,2024-08-21 16:00:00,2024-08-21 16:00:00,2629.38,time_stop,-73.9934,-0.007399,12,2.0684,0.7008,1.0,100000.0
ETHUSDT,short,2024-08-23 00:00:00,2024-08-23 00:00:00,2668.07,2024-08-25 08:00:00,2024-08-25 08:00:00,2762.79,hard_stop,-367.0132,-0.036701,7,1.548,0.1279,1.0,100000.0
ETHUSDT,long,2024-08-26 16:00:00,2024-08-26 16:00:00,2679.25,2024-08-27 08:00:00,2024-08-27 08:00:00,2577.64,hard_stop,-391.2479,-0.039125,2,-1.5367,0.3004,1.0,100000.0
ETHUSDT,short,2024-10-11 08:00:00,2024-10-11 08:00:00,2442.36,2024-10-14 00:00:00,2024-10-14 00:00:00,2534.74,hard_stop,-390.2407,-0.039024,8,1.5999,0.4628,1.0,100000.0
ETHUSDT,short,2024-10-14 08:00:00,2024-10-14 08:00:00,2634.95,2024-10-18 08:00:00,2024-10-18 08:00:00,2652.12,time_stop,-77.1625,-0.007716,12,2.1853,0.3074,1.0,100000.0
ETHUSDT,long,2024-10-22 00:00:00,2024-10-22 00:00:00,2646.65,2024-10-23 08:00:00,2024-10-23 08:00:00,2539.53,hard_stop,-416.7381,-0.041674,4,-2.1627,0.2121,1.0,100000.0
ETHUSDT,short,2024-11-05 00:00:00,2024-11-05 00:00:00,2442.32,2024-11-06 00:00:00,2024-11-06 00:00:00,2595.4,hard_stop,-638.7811,-0.063878,3,1.5522,0.0331,1.0,100000.0
ETHUSDT,short,2025-01-03 00:00:00,2025-01-03 00:00:00,3432.62,2025-01-03 08:00:00,2025-01-03 08:00:00,3564.32,hard_stop,-395.6719,-0.039567,1,2.2497,0.2586,1.0,100000.0
ETHUSDT,long,2025-01-07 08:00:00,2025-01-07 08:00:00,3461.21,2025-01-09 00:00:00,2025-01-09 00:00:00,3288.18,hard_stop,-511.9119,-0.051191,5,-1.996,0.5625,1.0,100000.0
ETHUSDT,long,2025-01-16 00:00:00,2025-01-16 00:00:00,3382.42,2025-01-20 00:00:00,2025-01-20 00:00:00,3383.33,time_stop,-9.3096,-0.000931,12,-1.9821,0.5128,1.0,100000.0
ETHUSDT,long,2025-01-22 16:00:00,2025-01-22 16:00:00,3242.0,2025-01-26 16:00:00,2025-01-26 16:00:00,3230.5,time_stop,-47.4719,-0.004747,12,-1.5133,0.6586,1.0,100000.0
ETHUSDT,short,2025-01-31 08:00:00,2025-01-31 08:00:00,3426.21,2025-02-01 16:00:00,2025-02-01 16:00:00,3116.22,take_profit,892.7607,0.089276,4,2.3892,0.7367,1.0,100000.0
ETHUSDT,short,2025-02-20 00:00:00,2025-02-20 00:00:00,2728.88,2025-02-24 00:00:00,2025-02-24 00:00:00,2720.41,time_stop,19.0384,0.001904,12,2.2364,0.6025,1.0,100000.0
ETHUSDT,short,2025-03-17 08:00:00,2025-03-17 08:00:00,1918.49,2025-03-19 08:00:00,2025-03-19 08:00:00,2047.87,hard_stop,-686.3845,-0.068638,6,1.6801,0.7118,1.0,100000.0
ETHUSDT,long,2025-03-28 00:00:00,2025-03-28 00:00:00,1909.04,2025-03-29 16:00:00,2025-03-29 16:00:00,1827.32,hard_stop,-440.0686,-0.044007,5,-2.439,0.0892,1.0,100000.0
