symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2023-02-25 00:00:00,2023-02-25 00:00:00,23064.9,2023-02-26 20:00:00,2023-02-26 20:00:00,23545.3,hard_stop,-220.2818,-0.022028,11,6,0.0863,1.0,100000.0
BTCUSDT,short,2023-03-07 12:00:00,2023-03-07 12:00:00,22307.5,2023-03-09 00:00:00,2023-03-09 00:00:00,21762.6,macro_regime_off,232.2676,0.023227,9,-18,0.3031,1.0,100000.0
BTCUSDT,short,2023-03-13 12:00:00,2023-03-13 12:00:00,24009.0,2023-03-14 00:00:00,2023-03-14 00:00:00,24379.9,macro_regime_off,-166.4837,-0.016648,3,-6,0.8331,1.0,100000.0
BTCUSDT,long,2023-03-15 08:00:00,2023-03-15 08:00:00,24782.6,2023-03-17 08:00:00,2023-03-17 08:00:00,26914.1,take_profit,848.0792,0.084808,12,6,0.2936,1.0,100000.0
BTCUSDT,short,2023-04-02 12:00:00,2023-04-02 12:00:00,28110.2,2023-04-06 00:00:00,2023-04-06 00:00:00,28117.4,macro_regime_off,-14.5613,-0.001456,21,12,0.1288,1.0,100000.0
BTCUSDT,short,2023-04-08 00:00:00,2023-04-08 00:00:00,28005.9,2023-04-10 12:00:00,2023-04-10 12:00:00,28427.7,hard_stop,-162.6111,-0.016261,15,6,0.5954,1.0,100000.0
BTCUSDT,long,2023-04-20 16:00:00,2023-04-20 16:00:00,28091.2,2023-04-21 16:00:00,2023-04-21 16:00:00,27273.6,hard_stop,-303.052,-0.030305,6,48,0.2908,1.0,100000.0
BTCUSDT,short,2023-04-23 04:00:00,2023-04-23 04:00:00,27704.6,2023-04-26 04:00:00,2023-04-26 04:00:00,28365.0,hard_stop,-250.372,-0.025037,18,-30,0.6894,1.0,100000.0
BTCUSDT,long,2023-05-01 12:00:00,2023-05-01 12:00:00,28158.3,2023-05-02 00:00:00,2023-05-02 00:00:00,28031.9,macro_regime_off,-56.8891,-0.005689,3,-12,0.2541,1.0,100000.0
BTCUSDT,long,2023-05-06 12:00:00,2023-05-06 12:00:00,28557.9,2023-05-08 08:00:00,2023-05-08 08:00:00,27922.2,hard_stop,-234.6004,-0.02346,11,6,0.4717,1.0,100000.0
BTCUSDT,long,2023-05-11 00:00:00,2023-05-11 00:00:00,27435.1,2023-05-12 00:00:00,2023-05-12 00:00:00,26574.8,hard_stop,-325.5764,-0.032558,6,6,0.2424,1.0,100000.0
BTCUSDT,short,2023-05-17 16:00:00,2023-05-17 16:00:00,27377.1,2023-05-21 20:00:00,2023-05-21 20:00:00,26732.8,take_profit,223.3427,0.022334,25,42,0.0617,1.0,100000.0
BTCUSDT,short,2023-05-23 04:00:00,2023-05-23 04:00:00,27295.8,2023-05-24 12:00:00,2023-05-24 12:00:00,26306.9,take_profit,350.2902,0.035029,8,-18,0.3656,1.0,100000.0
BTCUSDT,short,2023-05-27 00:00:00,2023-05-27 00:00:00,26739.5,2023-05-28 00:00:00,2023-05-28 00:00:00,27174.4,hard_stop,-174.6433,-0.017464,6,6,0.1613,1.0,100000.0
BTCUSDT,long,2023-05-31 12:00:00,2023-05-31 12:00:00,26900.1,2023-06-02 00:00:00,2023-06-02 00:00:00,26985.1,macro_regime_off,19.5984,0.00196,9,-12,0.4265,1.0,100000.0
BTCUSDT,short,2023-06-05 00:00:00,2023-06-05 00:00:00,26835.9,2023-06-05 12:00:00,2023-06-05 12:00:00,25991.9,take_profit,302.5041,0.03025,3,18,0.1215,1.0,100000.0
BTCUSDT,long,2023-06-06 20:00:00,2023-06-06 20:00:00,27221.5,2023-06-07 12:00:00,2023-06-07 12:00:00,26333.9,hard_stop,-338.0658,-0.033807,4,24,0.858,1.0,100000.0
