pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-16T19:11:00,96820.7,188.18,2025-02-16T20:21:00,97135.6,189.52,0.0030684380773867933,71,3.1525717539726514,0.4598209290241865,,0,z_mean_revert,0.0038684380773867932
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-17T05:18:00,96096.4,181.44,2025-02-17T06:25:00,96304.6,184.45,0.01362293177463072,68,2.878720727865295,0.4623044792324754,,0,z_mean_revert,0.01442293177463072
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-18T05:30:00,95807.0,173.51,2025-02-18T06:14:00,95256.5,167.41,-0.030210548424299464,45,2.72857369985161,3.723405389129206,,0,adverse_stop,-0.029410548424299465
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-18T06:30:00,95377.4,167.39,2025-02-18T06:32:00,95270.1,164.85,-0.014849139758128604,3,2.7615515993844757,3.504738027562411,,0,adverse_stop,-0.014049139758128604
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-18T06:33:00,95266.2,165.12,2025-02-18T09:17:00,95490.0,166.94,0.007873080072616912,165,3.306218868786508,0.2787603156396649,,0,z_mean_revert,0.008673080072616912
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-18T17:32:00,94364.3,161.22,2025-02-18T17:51:00,94256.0,163.38,0.0137455212487966,20,2.5077623477178856,0.37296028302895423,,0,z_mean_revert,0.0145455212487966
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-19T04:21:00,95558.2,166.06,2025-02-19T05:30:00,95154.0,166.05,0.0033696637425685524,70,2.592297435239671,0.44208351283915637,,0,z_mean_revert,0.004169663742568552
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-20T11:00:00,97336.3,174.06,2025-02-20T12:44:00,97452.2,173.9,0.00130994038860024,105,-3.3195578861935373,-0.4141931090120719,,0,z_mean_revert,0.00210994038860024
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-21T08:30:00,98151.2,177.23,2025-02-21T09:16:00,98467.2,178.89,-0.0069468375644666566,47,-2.5595648008114757,-3.276742895076021,,0,adverse_stop,-0.006146837564466656
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-21T16:05:00,97882.6,172.66,2025-02-21T18:10:00,96853.1,171.84,0.004968483701771187,126,2.53412402610719,0.48334862182164207,,0,z_mean_revert,0.005768483701771188
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-23T00:48:00,96518.2,171.22,2025-02-23T04:41:00,96380.8,170.5,-0.0035815505138172324,234,2.572083692022936,0.47471420498565015,,0,z_mean_revert,-0.0027815505138172325
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-23T12:16:00,95910.1,168.94,2025-02-23T13:32:00,95767.9,169.41,0.0034646912289229234,77,2.5236022103873537,0.41111327546480214,,0,z_mean_revert,0.004264691228922923
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-24T01:30:00,96027.9,164.57,2025-02-24T05:29:00,95452.7,159.45,-0.025921455330715746,240,2.9711492858226594,1.2353408965040562,,0,max_holding,-0.025121455330715747
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-24T15:47:00,93861.6,151.03,2025-02-24T17:20:00,95124.8,154.79,0.010637603287036246,94,2.655874648699384,0.41387089485904643,,0,z_mean_revert,0.011437603287036247
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-24T20:00:00,93842.5,149.52,2025-02-24T20:15:00,94306.7,152.3,0.012846244355471237,16,2.6747396278149638,0.250413402168054,,0,z_mean_revert,0.013646244355471238
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-24T22:53:00,92578.1,143.42,2025-02-24T22:57:00,92546.0,141.8,-0.011748761475909508,5,2.6754112018333966,3.3829687820826937,,0,adverse_stop,-0.010948761475909508
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-24T22:58:00,92349.4,140.13,2025-02-25T00:19:00,91854.0,143.51,0.028684869087554434,82,4.031216674931594,0.42704969939500254,,0,z_mean_revert,0.029484869087554433
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-25T04:35:00,91813.1,136.44,2025-02-25T05:05:00,91899.4,139.21,0.018562011220121823,31,2.737931045539268,0.26439701624014145,,0,z_mean_revert,0.019362011220121822
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-25T16:45:00,87440.9,144.19,2025-02-25T18:16:00,87244.9,141.5,0.015614426096475254,92,-3.0157090762454795,-0.4978827090153723,,0,z_mean_revert,0.016414426096475254
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-26T12:00:00,88604.7,137.99,2025-02-26T13:58:00,87085.6,136.16,0.0030828581454686262,119,2.7333329087547704,0.4192592701000054,,0,z_mean_revert,0.003882858145468626
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-27T00:49:00,84666.9,137.03,2025-02-27T00:59:00,84690.1,136.14,0.005968943110802672,11,-2.5647488407039014,0.08609717313447893,,0,z_mean_revert,0.006768943110802672
BTCUSDT/SOLUSDT,short_a_long_b,2025-02-28T02:00:00,81614.3,130.45,2025-02-28T02:41:00,80281.5,129.32,0.006868148769239713,42,2.767967525535977,0.4692217248704257,,0,z_mean_revert,0.007668148769239713
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-28T08:48:00,78422.5,129.8,2025-02-28T10:25:00,79794.2,131.03,0.007215036583525203,98,-2.534155753470288,-0.4729497992949445,,0,z_mean_revert,0.008015036583525204
BTCUSDT/SOLUSDT,long_a_short_b,2025-02-28T13:30:00,81254.9,138.76,2025-02-28T14:06:00,81998.9,143.9,-0.02868600444697553,37,-2.6622173459849625,-3.4329819064857605,,0,adverse_stop,-0.027886004446975532
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-01T10:45:00,85030.0,140.75,2025-03-01T12:18:00,84640.7,140.91,0.004915151417669206,94,3.1183964910268793,0.3891295877734575,,0,z_mean_revert,0.005715151417669206
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-02T06:17:00,85906.2,142.36,2025-03-02T06:36:00,86300.3,144.26,0.007958883848292598,20,2.935129370687781,0.08344434320015873,,0,z_mean_revert,0.008758883848292598
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-02T16:00:00,87660.0,159.83,2025-03-02T16:03:00,87867.7,165.39,-0.03321757944418722,4,-2.9333016259345754,-3.7188714441934243,,0,adverse_stop,-0.03241757944418722
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-02T16:04:00,87737.4,163.73,2025-03-02T17:42:00,94153.7,171.59,0.02432486543126702,99,-3.3450069897558135,-0.4971171369558842,,0,z_mean_revert,0.02512486543126702
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-03T02:30:00,92427.5,168.97,2025-03-03T04:37:00,92700.9,170.26,0.003876497226335341,128,2.8390572477149045,0.45683380151881053,,0,z_mean_revert,0.004676497226335341
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-03T07:00:00,91454.6,161.93,2025-03-03T07:03:00,91208.9,159.89,-0.010711457273911295,4,2.5714885588935856,3.295720906285024,,0,adverse_stop,-0.009911457273911295
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-03T07:04:00,91221.1,160.0,2025-03-03T10:12:00,91567.4,159.97,-0.004783770818922317,189,3.164694959427792,0.42019623193889816,,0,z_mean_revert,-0.0039837708189223164
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-03T13:32:00,93113.9,164.84,2025-03-03T13:41:00,93503.9,166.73,-0.008077244973757258,10,-2.591149949410908,-3.3299956075486086,,0,adverse_stop,-0.0072772449737572575
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-03T13:42:00,93514.7,166.58,2025-03-03T14:17:00,93341.1,163.99,0.012891692372883368,36,-3.0865450349027066,-0.4266229638768262,,0,z_mean_revert,0.013691692372883368
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-03T19:30:00,87071.4,146.37,2025-03-03T22:50:00,86547.0,143.33,-0.015546639837394216,201,2.554754831714708,0.44642428663339634,,0,z_mean_revert,-0.014746639837394215
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-04T02:15:00,83430.8,135.09,2025-03-04T02:30:00,83337.6,136.83,0.013197395468378748,16,2.649288097296219,0.4954626088488544,,0,z_mean_revert,0.013997395468378748
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-04T10:00:00,83631.8,135.57,2025-03-04T10:37:00,83790.5,136.63,0.005121235433024918,38,2.6880375920345116,0.4560768955785976,,0,z_mean_revert,0.005921235433024918
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-05T04:30:00,86922.1,141.13,2025-03-05T05:06:00,86904.5,142.31,0.007763565675753226,37,2.737908503315618,0.49336108619149843,,0,z_mean_revert,0.008563565675753226
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-05T10:46:00,90035.0,149.52,2025-03-05T11:49:00,90006.7,148.37,0.006576956550664282,64,-2.507377161660109,-0.3326812136292051,,0,z_mean_revert,0.007376956550664282
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-05T13:15:00,89704.5,144.83,2025-03-05T16:00:00,88260.0,141.65,-0.0066539058174376105,166,2.632282211423804,0.48946212477325934,,0,z_mean_revert,-0.00585390581743761
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-06T22:01:00,90550.0,144.9,2025-03-07T00:08:00,89853.9,143.76,-0.0009800293353363402,128,3.887660402734669,0.4940195097212617,,0,z_mean_revert,-0.00018002933533634014
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-07T03:40:00,87137.3,141.57,2025-03-07T04:45:00,87802.5,141.55,0.006975202310931206,66,-2.56677958286796,-0.4266768820457303,,0,z_mean_revert,0.007775202310931206
BTCUSDT/SOLUSDT,short_a_long_b,2025-03-07T10:30:00,89052.3,143.0,2025-03-07T13:30:00,90036.7,145.11,0.0029010664802312743,181,2.7437830539931403,-0.2324752137581036,,0,z_mean_revert,0.0037010664802312743
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-07T15:51:00,88542.6,145.29,2025-03-07T17:20:00,86822.1,141.55,0.005510295625116757,90,-2.6962228968655815,-0.49904835274708137,,0,z_mean_revert,0.0063102956251167575
BTCUSDT/SOLUSDT,long_a_short_b,2025-03-07T19:15:00,88384.5,149.53,2025-03-07T20:37:00,87032.3,144.33,0.01867656768985373,83,-3.0787382941140877,-0.24098635811586844,,0,z_mean_revert,0.01947656768985373
