pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-27T01:30:00,92499.2,230.21,2024-11-27T01:50:00,92670.0,231.76,0.0040864804723927065,21,2.328291501563692,0.4548308257481896,,0,z_mean_revert,0.004886480472392707
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-27T05:30:00,92764.9,228.99,2024-11-27T06:34:00,93234.7,231.5,0.005096761816132967,65,2.527571218451792,0.49762526330759077,,0,z_mean_revert,0.005896761816132967
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-27T11:30:00,93595.5,235.63,2024-11-27T12:06:00,93340.0,234.09,0.0030058382339744013,37,-2.024049762480121,-0.434634728909526,,0,z_mean_revert,0.0038058382339744012
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-27T17:00:00,95735.8,238.79,2024-11-27T19:10:00,96041.6,239.56,-0.0007696167470928377,131,2.0269592242535417,0.43250040003085355,,0,z_mean_revert,3.0383252907162372e-05
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-27T23:05:00,96133.1,242.04,2024-11-28T00:06:00,95904.0,240.63,0.002642329201826966,62,-2.0821648054527477,-0.4650497216024038,,0,z_mean_revert,0.0034423292018269658
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-28T06:03:00,95322.9,237.27,2024-11-28T07:13:00,95719.4,239.23,0.003301085216106304,71,2.0844202901348177,0.4906341130493895,,0,z_mean_revert,0.004101085216106304
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-28T10:51:00,94957.3,235.49,2024-11-28T14:04:00,95916.0,237.16,-0.0038045206400963752,194,2.1574261989097026,0.40705718765780396,,0,z_mean_revert,-0.0030045206400963753
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-28T15:18:00,95273.5,234.08,2024-11-28T15:33:00,95313.9,235.04,0.0028771196336471413,16,2.0907853825014855,0.47586095800043426,,0,z_mean_revert,0.0036771196336471412
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-28T16:00:00,95150.0,233.38,2024-11-28T16:08:00,95319.8,234.86,0.003757038115685863,9,2.2767721464346438,0.38420642420476014,,0,z_mean_revert,0.004557038115685863
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-29T00:17:00,95651.4,238.01,2024-11-29T00:27:00,95571.4,237.24,0.0015987877832702954,11,-2.2054164747074254,0.22314926033640145,,0,z_mean_revert,0.0023987877832702953
