date,equal,risk_parity,correlation_off
2023-08-04,108585.19750050348,102664.87319114189,102631.15597001284
2023-08-05,108813.22950178951,102705.91812488994,102671.60672296735
2023-08-06,108829.27411476162,102709.19815769474,102674.59176265581
2023-08-07,108865.691952826,102720.72651564295,102685.77234743454
2023-08-08,108877.94003089586,102741.09259575348,102705.18457256313
2023-08-09,109008.54774886642,102759.8698162518,102723.85951008256
2023-08-10,109160.1527556623,102788.85408630682,102752.35913159237
2023-08-11,109347.00471888848,102830.62431706891,102793.22352149847
2023-08-12,109704.45326982188,102896.08987638832,102857.68574847245
2023-08-13,109880.06570247258,102932.10805267692,102893.01190999824
2023-08-14,109877.27866184211,102904.91100760766,102865.54270400068
2023-08-15,109606.41065604078,102872.50395509755,102833.03037861531
2023-08-16,109403.8130460804,102843.9298290482,102804.59491318482
2023-08-17,109229.03688180579,102871.56292918569,102829.69018208748
2023-08-18,109205.02604002465,102867.25788978519,102825.44779760788
2023-08-19,109056.64583528732,102858.77949350377,102816.43533724846
2023-08-20,109279.13820511685,102862.55880812021,102820.33808499445
2023-08-21,109480.554801597,102906.83354119687,102863.67162478575
2023-08-22,109504.78763038895,102945.7955040934,102900.81046271173
2023-08-23,109503.48608586691,102952.80217989472,102907.09231994442
2023-08-24,109803.70926594034,103005.3579125938,102958.92405505154
2023-08-25,110169.624018264,103094.63388855975,103046.59372958116
2023-08-26,110565.23224892543,103159.09632658253,103110.23255131082
2023-08-27,110533.40969540666,103152.82971405674,103104.06229628493
2023-08-28,110478.72353768897,103129.35243408446,103080.95585870439
2023-08-29,110425.62930092083,103111.29089511628,103063.47107798632
2023-08-30,110400.9443590632,103091.54022422155,103043.64051678986
2023-08-31,110497.12518312095,103071.19036865888,103024.62571203268
2023-09-01,110574.79194986887,103112.04960458737,103063.90700773169
2023-09-02,110609.55473673591,103126.1535966673,103077.60620998434
2023-09-03,110641.78831412086,103140.11594158979,103091.02970328352
2023-09-04,110439.92925924453,103104.43401476323,103055.34456884506
2023-09-05,110630.29417075681,103129.0750620238,103079.76940820788
2023-09-06,110706.18625499365,103154.61473130288,103104.49788223952
2023-09-07,110920.67463829991,103173.87172639776,103123.77710923705
2023-09-08,111057.39400190723,103188.47518267758,103138.51524061119
2023-09-09,111258.34190999065,103225.25072699178,103174.70814702881
2023-09-10,110869.64666526276,103158.32852548879,103108.70252323562
2023-09-11,110884.28952792782,103098.38841802524,103050.5519251127
2023-09-12,110773.52245136896,103081.32330688229,103033.79709138148
2023-09-13,111056.24184745757,103113.2417089087,103065.59004302391
2023-09-14,110953.58704195228,103096.18837274557,103048.74623081574
2023-09-15,110744.41401226382,103132.28528693679,103085.65485003729
2023-09-16,111149.86731316899,103193.37006302763,103145.75017734815
2023-09-17,111397.98126570677,103217.84295264684,103169.62279411175
2023-09-18,111668.91471493294,103268.56842586321,103218.77015199045
2023-09-19,111845.38634972119,103302.03922713577,103251.36253323102
2023-09-20,112192.91275302312,103356.1669453813,103304.95109448837
2023-09-21,112585.05482140038,103428.22189623023,103375.83213175085
2023-09-22,112588.78489939304,103423.8264620798,103371.68412767706
2023-09-23,112765.26404862528,103465.64578056616,103412.7924471655
2023-09-24,112909.20156173881,103485.83226725801,103432.86277447465
2023-09-25,112862.70625661472,103470.27820196595,103417.68083056444
2023-09-26,113143.55225822586,103522.03192617431,103468.39643432309
2023-09-27,113298.74018490917,103553.89144705197,103499.61373768319
2023-09-28,113227.05072206643,103549.9742929209,103495.44378404292
2023-09-29,113025.95548556316,103477.88291016717,103425.24632472786
2023-09-30,112550.03036325063,103387.0291811719,103336.01052398473
2023-10-01,112204.67909232454,103344.28309967958,103293.25029849754
2023-10-02,113027.8862192962,103535.04541485799,103484.2079671745
2023-10-03,113420.69942538142,103600.22530181363,103548.5542813948
2023-10-04,113188.38285396893,103539.8783646969,103488.90636790877
2023-10-05,113492.37486788732,103581.80022827265,103530.34975196254
2023-10-06,113695.753239573,103635.75790142677,103582.84220063593
2023-10-07,113749.07249208,103645.24613913157,103592.18283386955
2023-10-08,113916.36246886748,103673.96125445723,103620.05838513891
2023-10-09,113591.05050912897,103630.66211231131,103576.92054460259
2023-10-10,113690.12686197797,103644.79724817732,103590.85342132466
2023-10-11,114150.76488915664,103732.14047496444,103676.64748958223
2023-10-12,113899.7154175786,103700.79539181032,103645.32431598906
2023-10-13,113740.80717002226,103641.10243063158,103585.76882466661
2023-10-14,114087.06718466572,103710.20000853058,103653.52466654577
2023-10-15,114217.71085120263,103725.89620686465,103669.16324039786
2023-10-16,114657.85921406282,103863.64695136718,103802.65474889327
2023-10-17,114603.28631517876,103800.76867769148,103742.64127334852
2023-10-18,114724.86458872959,103821.73257293591,103763.2969020233
2023-10-19,114289.52275541169,103746.73043710928,103689.39785691907
2023-10-20,114322.64108476245,103768.27634426167,103710.05341023506
2023-10-21,113756.42140798978,103679.45995197026,103622.21584802789
2023-10-22,113957.81986642309,103691.9118027196,103634.53820776271
2023-10-23,112989.59250648873,103334.65309441034,103289.40260386815
2023-10-24,113603.91286217295,103483.68824358094,103434.73841410727
2023-10-25,113556.17034887013,103461.52598070953,103413.4035375738
2023-10-26,112984.4615047715,103314.75892137531,103270.50701098568
