,equal,risk_parity,correlation_off
2025-01-09,101651.40454850586,100333.57047604276,100331.85296253269
2025-01-10,101641.6976720895,100319.48473510299,100317.81553106132
2025-01-11,101692.76115582688,100323.17959865129,100321.50810237846
2025-01-12,101817.57376581541,100331.62291678615,100329.93357198336
2025-01-13,101748.43303046525,100316.37920873066,100314.4779078359
2025-01-14,101853.98185012204,100322.41936172599,100320.47997257441
2025-01-15,101509.66869139833,100298.89477606185,100296.9989529005
2025-01-16,101665.39519522044,100308.67441033742,100306.74007469985
2025-01-17,101575.93974053611,100304.02823735605,100302.13621194418
2025-01-18,101230.58074226794,100300.13907559236,100298.25325616424
2025-01-19,100882.19365047484,100279.33084612468,100277.64830542727
2025-01-20,101283.23758278713,100269.52357949952,100267.73088884195
2025-01-21,101494.66754372054,100282.90096917367,100281.12140171038
2025-01-22,101752.49429376036,100303.73191120883,100301.85559453699
2025-01-23,102159.63069663823,100330.01294479729,100328.05239118318
2025-01-24,102139.74121023277,100330.51795949011,100328.6028165058
2025-01-25,101916.24480065334,100315.9080796292,100314.10397702374
2025-01-26,101820.02667593127,100310.46859669592,100308.70036161342
2025-01-27,101930.75028146691,100310.48026509941,100308.56795351491
2025-01-28,101992.18135371196,100313.70422559687,100311.7851714036
2025-01-29,102466.42898727818,100448.00302544316,100444.89236055245
2025-01-30,102642.73537168893,100457.06761154877,100453.87328685493
2025-01-31,102434.59455865929,100434.98480354245,100431.6748796233
2025-02-01,102164.7007237709,100418.75919688432,100415.52818618513
2025-02-02,101938.81467478139,100396.7963223818,100393.45644525683
2025-02-03,102354.39863287854,100428.7681449967,100425.45036247926
2025-02-04,102381.29070393271,100422.29889700806,100418.98023719362
2025-02-05,102424.78666827788,100373.13252705708,100369.58805588647
2025-02-06,102365.19372085617,100375.45223957874,100372.04889298565
2025-02-07,102553.0860622598,100384.79024463338,100381.2908783372
2025-02-08,102627.41412651972,100389.01325788326,100385.48719517735
2025-02-09,102697.79732314261,100395.57596138553,100392.07844241316
2025-02-10,102765.84360046266,100396.83944660074,100393.4160364335
2025-02-11,102991.25307766863,100411.60220996004,100408.13953839245
2025-02-12,103166.52665937718,100425.83423726204,100422.39930016999
2025-02-13,103337.82932506583,100435.7114796987,100432.21952360777
2025-02-14,103327.66813516668,100438.42739061244,100435.00801526122
2025-02-15,103401.66100611119,100443.74660736424,100440.32484061427
2025-02-16,103495.94420719151,100449.47864454072,100446.03200026765
2025-02-17,102958.7459797279,100403.01107069594,100399.5070675073
2025-02-18,102533.38513118337,100376.32427781497,100372.97535469146
2025-02-19,102631.55185400114,100381.001154446,100377.612510183
2025-02-20,102489.24217781248,100372.437307946,100369.08956101083
2025-02-21,102713.689378917,100390.74879786927,100387.59788979591
2025-02-22,103046.59443159551,100409.02935336997,100405.74642900293
2025-02-23,103109.66758117595,100416.0954455557,100412.81891192083
