date,equal,risk_parity,correlation_off
2024-08-07,116578.86026120782,101054.47048752884,100930.2915363458
2024-08-08,116767.3682040196,101072.29955778083,100946.55826344738
2024-08-09,116789.99578072155,101078.10271755159,100951.99780319433
2024-08-10,117337.5610435807,101105.05086161732,100975.27463641083
2024-08-11,116877.8863919498,101078.97902742036,100952.36246399116
2024-08-12,117174.48276961617,101081.09371477755,100952.52461185373
2024-08-13,117192.57565608372,101078.89298965644,100950.08842133304
2024-08-14,117417.15757802424,101090.15370605593,100959.69044428294
2024-08-15,117927.70991532243,101120.50852544591,100986.37923023402
2024-08-16,117836.00247099614,101113.28011844987,100979.73441120029
2024-08-17,118066.93177776139,101125.01074303569,100989.93292965817
2024-08-18,117746.33875500217,101101.23524052686,100968.46574446386
2024-08-19,117973.71261983873,101114.33106277874,100980.01472476465
2024-08-20,118245.4142713846,101128.9410538424,100992.76072136054
2024-08-21,118355.04812735051,101128.37404373445,100991.59172704133
2024-08-22,118582.82120264493,101139.08536916233,101000.82785571221
2024-08-23,118832.05811088697,101153.53904208158,101013.59309412831
2024-08-24,118393.20285780585,101163.42768438456,101026.27405168892
2024-08-25,118708.25310751153,101182.26470674739,101042.88878094907
2024-08-26,118558.17969714449,101173.67647739779,101035.31549065482
2024-08-27,117972.08272440938,101135.01811697525,101000.81443248717
2024-08-28,117800.27228972319,101123.15341415204,100990.21161339068
2024-08-29,117755.63559518186,101121.76435628062,100989.05781460859
2024-08-30,117587.92148596709,101100.51655919694,100968.64659458447
2024-08-31,117657.62733066328,101107.28596567249,100974.8560257433
2024-09-01,118085.756326566,101127.41188387826,100992.06458435288
2024-09-02,118018.86692240713,101128.08701930629,100993.24715092174
2024-09-03,117872.74925539235,101120.30023314511,100986.46651151725
2024-09-04,118192.23901342793,101143.32130485146,101007.39401429093
2024-09-05,118790.41253758947,101174.31858559597,101034.23929380695
2024-09-06,118794.39985134876,101175.12851213323,101035.10839143199
2024-09-07,118892.58298916859,101194.97681790161,101054.37678347228
2024-09-08,118951.04654046978,101202.37665484515,101061.2205278018
