variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,twap_slices_used,cancel_replace_triggered,micro_z_at_entry
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-05-30T21:45:00,68416.760000,2024-05-30T23:45:00,68352.170000,-0.002144,9,micro_z_compressed,4,False,2.203
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-05-31T03:00:00,68512.120000,2024-05-31T07:00:00,68327.090000,0.001501,17,micro_z_compressed,4,False,-1.804
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-05-31T10:45:00,68333.330000,2024-05-31T13:45:00,68078.340000,-0.004932,13,micro_z_compressed,4,False,1.925
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-01T01:15:00,67571.300000,2024-06-01T02:45:00,67729.050000,-0.003535,7,micro_z_compressed,4,False,-1.824
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-01T20:00:00,67700.010000,2024-06-01T21:30:00,67814.980000,-0.002898,7,micro_z_compressed,4,False,-2.815
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-01T22:45:00,67765.400000,2024-06-02T00:30:00,67814.770000,-0.001929,8,micro_z_compressed,4,False,-2.157
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-02T03:15:00,67798.820000,2024-06-02T05:00:00,67818.760000,-0.001494,8,micro_z_compressed,4,False,-1.983
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-03T00:15:00,67665.400000,2024-06-03T01:00:00,68140.000000,-0.008214,4,twap_cancel_replace,3,True,-3.454
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-03T17:45:00,69268.970000,2024-06-03T20:00:00,69437.020000,-0.003626,10,micro_z_compressed,4,False,-1.904
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-03T21:00:00,69025.800000,2024-06-03T22:30:00,69070.200000,-0.001843,7,micro_z_compressed,4,False,-2.517
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-05T01:45:00,70986.300000,2024-06-05T03:15:00,70870.000000,-0.002838,7,micro_z_compressed,4,False,2.464
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-05T10:00:00,70840.680000,2024-06-05T13:00:00,71016.510000,-0.003682,13,micro_z_compressed,4,False,-1.899
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-05T20:00:00,71231.490000,2024-06-06T00:15:00,71152.000000,-0.000084,18,micro_z_compressed,4,False,-1.987
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-06T03:45:00,71050.000000,2024-06-06T06:00:00,70982.790000,-0.000254,10,micro_z_compressed,4,False,-3.007
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-06T17:30:00,71074.780000,2024-06-06T21:30:00,70752.610000,0.003333,17,micro_z_compressed,4,False,-1.909
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-07T03:30:00,70933.120000,2024-06-07T04:00:00,71181.200000,0.002297,3,twap_cancel_replace,2,True,1.856
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-07T05:00:00,71207.920000,2024-06-07T08:00:00,71079.990000,-0.002997,13,micro_z_compressed,4,False,2.672
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-08T11:45:00,69365.930000,2024-06-08T15:00:00,69480.010000,-0.002845,14,micro_z_compressed,4,False,-2.257
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-08T18:30:00,69452.880000,2024-06-08T20:30:00,69377.270000,-0.002289,9,micro_z_compressed,4,False,1.801
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-09T05:30:00,69342.760000,2024-06-09T07:15:00,69370.600000,-0.000799,8,micro_z_compressed,4,False,2.049
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-09T08:15:00,69311.390000,2024-06-09T12:30:00,69527.450000,-0.004317,18,micro_z_compressed,4,False,-2.213
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-09T15:45:00,69508.640000,2024-06-09T20:00:00,69661.400000,0.000998,18,micro_z_compressed,4,False,1.806
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-10T00:00:00,69535.840000,2024-06-10T00:45:00,69559.990000,-0.001547,4,micro_z_compressed,3,False,-2.233
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-10T08:30:00,69484.730000,2024-06-10T11:15:00,69372.210000,0.000419,12,micro_z_compressed,4,False,-1.803
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-10T19:15:00,69758.050000,2024-06-10T21:00:00,69686.230000,-0.000170,8,micro_z_compressed,4,False,-2.441
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-11T20:15:00,67332.590000,2024-06-12T02:45:00,67415.250000,-0.002428,27,micro_z_compressed,4,False,-2.320
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-12T18:30:00,69195.390000,2024-06-12T21:15:00,68434.640000,0.009794,12,micro_z_compressed,4,False,-1.829
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-13T14:00:00,67443.370000,2024-06-13T18:00:00,66962.930000,0.005924,17,micro_z_compressed,4,False,-1.986
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-14T01:00:00,66717.070000,2024-06-14T02:30:00,66832.500000,-0.002930,7,micro_z_compressed,4,False,-2.022
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-15T10:00:00,66195.920000,2024-06-15T12:15:00,66300.010000,-0.002772,10,micro_z_compressed,4,False,-1.833
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-15T19:15:00,66171.610000,2024-06-15T22:30:00,66117.360000,-0.002020,14,micro_z_compressed,4,False,2.275
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-15T22:45:00,66200.000000,2024-06-16T00:15:00,66251.090000,-0.000428,7,micro_z_compressed,4,False,2.091
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-16T03:15:00,66124.180000,2024-06-16T05:45:00,66264.000000,-0.003315,11,micro_z_compressed,4,False,-2.332
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-16T09:00:00,66202.700000,2024-06-16T09:15:00,66384.510000,-0.003946,2,twap_cancel_replace,1,True,-2.088
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-16T18:15:00,66654.720000,2024-06-16T20:00:00,66528.380000,-0.003095,8,micro_z_compressed,4,False,2.367
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-17T14:15:00,65550.030000,2024-06-17T19:15:00,66920.130000,0.019702,21,micro_z_compressed,4,False,1.959
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-18T00:45:00,65749.990000,2024-06-18T01:30:00,64641.710000,0.015656,4,twap_cancel_replace,3,True,-2.565
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-18T08:00:00,65686.010000,2024-06-18T09:45:00,65469.920000,-0.004490,8,micro_z_compressed,4,False,2.026
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-06-18T19:45:00,64412.190000,2024-06-18T21:30:00,65087.180000,-0.011679,8,micro_z_compressed,4,False,-2.067
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-19T01:30:00,64970.990000,2024-06-19T05:15:00,65466.000000,0.006419,16,micro_z_compressed,4,False,1.930
