,equity
2023-01-14,1.8339383498153759e-13
2023-01-15,1.6474437174270173e-13
2023-01-16,1.3936335417607783e-13
2023-01-17,1.2893369764963205e-13
2023-01-18,1.0570147155521226e-13
2023-01-19,9.33375038479967e-14
2023-01-20,7.611642527484235e-14
2023-01-21,6.882128773097791e-14
2023-01-22,6.240564216144912e-14
2023-01-23,5.490192786917178e-14
2023-01-24,4.503599231446368e-14
2023-01-25,3.7167252691208095e-14
2023-01-26,3.5386810787159384e-14
2023-01-27,3.0237900377496896e-14
2023-01-28,2.666521641750396e-14
2023-01-29,2.034965678408054e-14
2023-01-30,1.7845843369630116e-14
2023-01-31,1.6156869718425815e-14
2023-02-01,1.2589842718915141e-14
2023-02-02,1.1070539259453592e-14
2023-02-03,1.030936749586931e-14
2023-02-04,8.988041075605552e-15
2023-02-05,7.90297115107818e-15
2023-02-06,6.730663777551041e-15
2023-02-07,6.329877059389036e-15
2023-02-08,5.63715269387927e-15
2023-02-09,4.60046131116484e-15
2023-02-10,3.769201806266014e-15
2023-02-11,3.3279512082703548e-15
2023-02-12,2.8897328617573656e-15
2023-02-13,2.380475877661413e-15
2023-02-14,2.180276798113017e-15
2023-02-15,2.0294980420621277e-15
2023-02-16,1.8807440966638058e-15
2023-02-17,1.7634695508670194e-15
2023-02-18,1.65091361982294e-15
2023-02-19,1.2657564076890562e-15
2023-02-20,1.191447164262196e-15
2023-02-21,1.094549290962662e-15
2023-02-22,9.979048969231727e-16
2023-02-23,9.683245518885562e-16
2023-02-24,8.570916473761003e-16
2023-02-25,7.52957841330193e-16
2023-02-26,7.154345874143538e-16
2023-02-27,6.473928442402344e-16
2023-02-28,5.950992456922086e-16
2023-03-01,5.55543934105736e-16
2023-03-02,4.832007451208274e-16
2023-03-03,4.067098627538781e-16
2023-03-04,3.434922400420266e-16
2023-03-05,3.0649267495275e-16
2023-03-06,2.6510121668077543e-16
2023-03-07,2.376917573535715e-16
2023-03-08,2.0363197733309038e-16
2023-03-09,1.917591577849378e-16
2023-03-10,1.6620562840936776e-16
2023-03-11,1.466550418052929e-16
2023-03-12,1.302452685268034e-16
2023-03-13,1.240064621941669e-16
2023-03-14,1.0987481899401448e-16
2023-03-15,9.912220161487346e-17
2023-03-16,9.158938584917654e-17
2023-03-17,7.553848991616975e-17
2023-03-18,6.85514742626468e-17
2023-03-19,6.532873316431487e-17
2023-03-20,5.551569442368512e-17
2023-03-21,5.172886457967534e-17
2023-03-22,4.830679324407593e-17
2023-03-23,4.5943230931627206e-17
2023-03-24,3.971568775624203e-17
2023-03-25,3.674618917044207e-17
2023-03-26,3.166021098257098e-17
2023-03-27,2.5845186705451122e-17
2023-03-28,2.3818491307833253e-17
2023-03-29,2.2117703041085427e-17
2023-03-30,2.0684663004732703e-17
2023-03-31,1.83516875201677e-17
2023-04-01,1.758956079613837e-17
2023-04-02,1.5623103084634694e-17
2023-04-03,1.4112393206043616e-17
2023-04-04,1.2391009289244319e-17
2023-04-05,1.068360199577958e-17
2023-04-06,9.786305797546117e-18
2023-04-07,8.83658315713072e-18
2023-04-08,7.082187194048008e-18
2023-04-09,6.509518260726083e-18
2023-04-10,5.934614274621984e-18
2023-04-11,4.959501071659639e-18
2023-04-12,4.254020459103656e-18
2023-04-13,3.638010018167235e-18
2023-04-14,3.231899632749342e-18
2023-04-15,3.1707341841290404e-18
2023-04-16,2.6723787349904203e-18
2023-04-17,2.4123736053216293e-18
2023-04-18,2.0414605037251294e-18
2023-04-19,1.7900485637701943e-18
2023-04-20,1.6708755924010215e-18
2023-04-21,1.5697067083215051e-18
2023-04-22,1.4737086163555387e-18
2023-04-23,1.3467665423081677e-18
2023-04-24,1.2873299320041811e-18
2023-04-25,1.1436713136434215e-18
2023-04-26,1.0058348673535208e-18
2023-04-27,8.632859970272943e-19
2023-04-28,7.277981394125188e-19
2023-04-29,6.453730268122407e-19
2023-04-30,5.72897846258216e-19
2023-05-01,5.14520945920007e-19
