symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
BTCUSDT,long,2023-02-22,24245.633980000002,2023-02-22,23982.162715,stop,-811.3718560048216,-0.010866750905228484,9,132.07427078927242,0.01
BTCUSDT,long,2023-03-23,27613.528255,2023-03-23,27378.61039,stop,-628.3030558461483,-0.00850734693627797,30,110.22529481278072,0.01
BTCUSDT,long,2023-03-25,27584.875340000002,2023-03-25,27398.071155,stop,-495.88400975826136,-0.006771978582376326,4,74.3253883058129,0.01
BTCUSDT,long,2023-03-25,27523.182940000002,2023-03-25,27427.227355000003,trailing,-253.5625394724353,-0.003486354946998005,30,82.43764522196746,0.01
BTCUSDT,long,2023-03-26,27594.800205000003,2023-03-26,27824.151075,target,602.3790783144117,0.008311379980872058,45,78.26461821341906,0.01
BTCUSDT,long,2023-04-02,28233.376635,2023-04-02,27906.926725,stop,-844.9774946647698,-0.011562552868554565,8,81.40946376876961,0.01
BTCUSDT,long,2023-04-03,28136.141000000003,2023-04-03,27671.420515,stop,-1193.07538560538,-0.01651685229328359,7,106.72066713834282,0.01
BTCUSDT,long,2023-04-03,27941.930120000005,2023-04-04,27720.01751,trend_reversal,-564.2000269469012,-0.00794192130060356,7,165.08166374703305,0.01
BTCUSDT,long,2023-04-06,28106.55669,2023-04-06,27869.103545,stop,-595.4083264503839,-0.008448318576301572,24,92.64088217707604,0.01
BTCUSDT,long,2023-04-17,30107.703915000002,2023-04-17,29919.054,stop,-437.86371172712086,-0.006265835333461367,6,93.96976691065487,0.01
BTCUSDT,long,2023-04-17,29962.97715,2023-04-17,29832.154545,stop,-303.19918364077546,-0.004366141733682771,4,57.16650232278075,0.01
BTCUSDT,long,2023-04-18,29870.55873,2023-04-18,30270.975325000003,target,926.8267868566899,0.013405058761015054,9,61.7341939802385,0.01
BTCUSDT,long,2023-05-07,28891.011610000005,2023-05-07,28756.350675,stop,-326.5816657027683,-0.004660997573148085,1,53.12945382814108,0.01
BTCUSDT,long,2023-06-28,30321.053460000003,2023-06-28,30212.613,trailing,-249.41984802953363,-0.003576408060592562,10,92.67249027533127,0.01
BTCUSDT,long,2023-06-29,30261.334015,2023-06-29,30077.945305,stop,-421.12640532942737,-0.006060166082205609,5,82.28934496873755,0.01
