variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_at_entry,exit_reason
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-19T19:00:00,26624.0,1719.67,2023-06-19T19:15:00,26661.05,1722.47,-0.0021633821948306296,2,3.4135977808054014,3.123868952437526,3.69e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-19T19:30:00,26652.01,1722.75,2023-06-19T19:45:00,26682.28,1724.24,-0.002670852994699533,2,2.7984301961311697,2.74456134729384,3.69e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-19T20:00:00,26813.99,1730.53,2023-06-19T20:15:00,26766.57,1731.37,-0.00014611976132354642,2,2.974064916661767,2.1982151927623823,3.69e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-19T20:30:00,26803.19,1731.92,2023-06-19T20:45:00,26723.99,1730.41,-0.00031699258865429446,2,2.408003488230926,1.7518592399293498,3.69e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T01:00:00,27139.79,1748.82,2023-06-20T01:15:00,26999.41,1740.17,-0.0021737130626632716,2,2.2909433693229695,2.15820374552478,4.35e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T02:00:00,26930.0,1735.2,2023-06-20T02:15:00,26884.78,1733.21,-0.0018676736487215771,2,2.0335686386647724,1.8576193018572975,4.35e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T04:15:00,26946.02,1731.33,2023-06-20T04:30:00,26950.0,1730.74,-0.0028884811800670572,2,2.120038201966614,2.142390488095515,4.35e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T04:45:00,26965.94,1731.42,2023-06-20T05:00:00,26994.05,1732.7,-0.0027031485251647757,2,2.1091271111153516,2.0972498653050593,4.35e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T15:45:00,27071.93,1732.48,2023-06-20T16:00:00,27103.76,1732.62,-0.0034949475725818834,2,2.7368662396712793,2.977092299414893,-4.48e-06,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T16:15:00,27201.99,1741.33,2023-06-20T16:30:00,27309.99,1743.21,-0.005290663229077938,2,2.4677467844421077,3.1737187478380546,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T16:45:00,27380.54,1745.07,2023-06-20T17:00:00,27360.01,1750.25,0.0013181648976797323,2,3.3914341221697484,2.258825936889528,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T17:15:00,27401.3,1749.06,2023-06-20T17:30:00,27495.2,1753.83,-0.0030996655412214723,2,2.7617305940990184,2.829051455923933,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T17:45:00,27796.0,1769.08,2023-06-20T18:00:00,27966.01,1785.81,0.0009405451723356185,2,3.230059191964347,2.291324728059883,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T18:15:00,27984.73,1784.11,2023-06-20T18:30:00,27934.0,1781.13,-0.0022575262743456536,2,2.5796667255694103,2.439517445390462,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T18:45:00,28070.54,1782.91,2023-06-20T19:00:00,27906.01,1774.83,-0.0010706117960351124,2,3.146449553686806,2.705087535320977,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T19:15:00,27941.99,1778.29,2023-06-20T19:30:00,27931.95,1780.66,-0.0007079431419770165,2,2.4533197112247875,2.0295738988844114,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T19:45:00,27982.77,1782.1,2023-06-20T20:00:00,27884.3,1778.1,-0.00112559182894427,2,2.1582400185763997,1.844109112811414,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T20:30:00,28073.41,1783.13,2023-06-20T20:45:00,28157.99,1784.7,-0.004532341107229151,2,2.44383679305577,2.7146802495604585,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T21:00:00,28167.02,1784.39,2023-06-20T21:15:00,28196.92,1782.71,-0.0044030233604413355,2,2.676764227558022,2.875892683797109,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T21:30:00,28218.99,1782.81,2023-06-20T21:45:00,28130.0,1777.05,-0.002477304517243859,2,2.844688349777258,2.721447386718728,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T22:00:00,28147.62,1778.72,2023-06-20T22:15:00,28188.01,1783.35,-0.0012319394062139531,2,2.562000236743733,2.297639901225089,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T22:30:00,28203.04,1784.92,2023-06-20T22:45:00,28213.47,1785.14,-0.002646563465346794,2,2.170661901679608,2.1373954871613923,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-20T23:15:00,28332.0,1791.76,2023-06-20T23:30:00,28302.66,1787.53,-0.0037252291061172092,2,2.104043865151736,2.2211890715315223,-2.597e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T01:00:00,28880.01,1817.95,2023-06-21T01:15:00,28838.0,1812.7,-0.003833228817683263,2,2.3134973857239207,2.4001434502671772,6.295e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T01:30:00,28772.93,1807.52,2023-06-21T01:45:00,28785.93,1809.05,-0.0020053498993422435,2,2.3789007901392494,2.2434621350469173,6.295e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T02:00:00,28836.01,1809.06,2023-06-21T02:15:00,28830.99,1808.74,-0.0024027995590563543,2,2.356690737679368,2.2686745578824983,6.295e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T15:15:00,29919.65,1853.18,2023-06-21T15:30:00,29814.01,1846.88,-0.0022687718684606816,2,2.7305431548075156,2.640271794035897,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T15:45:00,29851.58,1849.81,2023-06-21T16:00:00,29926.97,1865.22,0.0034050908404159165,2,2.515826115058046,1.6600765800532615,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T16:15:00,30640.0,1894.22,2023-06-21T16:30:00,30651.99,1893.85,-0.0029866495976092343,2,2.7355605896796473,2.7082107157401487,2.551e-05,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-21T16:45:00,30164.58,1870.23,2023-06-21T17:00:00,29980.01,1862.17,-0.0005908645820775081,2,2.16075001757519,1.8796080497890786,2.551e-05,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-22T00:30:00,30208.07,1918.2,2023-06-22T00:45:00,30139.48,1915.58,-0.0033047214798070245,2,-2.323657066104225,-2.4498495885295895,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-22T01:00:00,30194.61,1920.91,2023-06-22T01:15:00,30144.0,1916.33,-0.0016918403502251132,2,-2.5220070508891386,-2.3087892839698507,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2023-06-22T01:30:00,30163.39,1919.39,2023-06-22T01:45:00,30159.06,1912.08,0.0012649501553893684,2,-2.3773376761507543,-1.7182102615306407,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T11:45:00,30140.87,1879.76,2023-06-23T12:00:00,30178.16,1880.6,-0.003190325008196202,2,2.1771957291879382,2.4434288357935325,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T12:15:00,30091.35,1873.7,2023-06-23T12:45:00,30106.5,1873.47,-0.003026218717721727,3,2.713561844301987,2.780029901510144,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T13:00:00,30150.01,1877.52,2023-06-23T13:15:00,30109.04,1876.48,-0.00159505034079914,2,2.420608511226844,2.0425027432200067,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T13:30:00,30129.68,1876.2,2023-06-23T14:15:00,30146.72,1876.0,-0.0030721537366496386,4,2.2870498439088527,2.2552034401242422,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T14:45:00,30282.04,1884.27,2023-06-23T15:00:00,30419.91,1889.24,-0.00431523743508859,2,2.1979858584977623,2.773549806690861,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T15:15:00,30650.0,1888.6,2023-06-23T15:30:00,30851.06,1900.58,-0.0026165463978167634,2,4.8523136893497325,4.399750890984701,0.0001,regime_break
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T15:45:00,31238.0,1917.61,2023-06-23T16:00:00,31379.34,1931.42,0.0002770554626631695,2,4.717292090770041,3.7269127610367545,0.0001,regime_break
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T16:15:00,30906.68,1908.03,2023-06-23T16:30:00,30904.94,1910.79,-0.0008971833545618345,2,2.867241433717566,2.425068045025443,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T16:45:00,31097.02,1914.56,2023-06-23T17:00:00,31171.28,1923.13,-0.0003117858672734707,2,3.136775642944955,2.581914352032555,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T17:15:00,31120.46,1917.86,2023-06-23T17:30:00,31185.9,1921.83,-0.002432781142874194,2,2.6684916038617996,2.5526769551422874,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T17:45:00,31241.1,1923.84,2023-06-23T18:00:00,31123.14,1920.63,-0.00029274257763693733,2,2.5648025864373056,2.109827444974742,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T18:15:00,30995.71,1910.19,2023-06-23T18:30:00,30953.69,1907.03,-0.0026986142209204787,2,2.2605003088821025,2.226481519696601,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-23T19:30:00,30784.55,1895.9,2023-06-23T19:45:00,30880.87,1900.82,-0.0029337686478457113,2,2.0586461870210093,2.070177732582454,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,short_a_long_b,2023-06-24T17:00:00,30577.11,1879.39,2023-06-24T17:15:00,30572.19,1880.78,-0.001499493643998082,2,2.3555098096241194,1.6222579905694496,0.0001,confluence_lost
