variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,pnl_price_pct,pnl_carry_pct,bars_held,exit_reason,funding_sum_24h_bps_at_entry,funding_vol_bps_at_entry,cum_carry_pct_at_exit
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-11-15T16:00:00+00:00,16858.770000,2022-11-20T20:00:00+00:00,16280.230000,-0.034246,-0.034517,0.000271,32,hard_stop,-5.944,3.295,0.000271
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-11-22T16:00:00+00:00,16168.380000,2022-12-02T12:00:00+00:00,16938.940000,0.045260,0.047458,-0.002199,60,time_stop,-0.072,0.516,-0.002199
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-12-08T04:00:00+00:00,16825.550000,2022-12-18T00:00:00+00:00,16741.020000,-0.007621,-0.005224,-0.002397,60,time_stop,-0.198,0.428,-0.002397
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-12-26T16:00:00+00:00,16841.000000,2022-12-28T20:00:00+00:00,16547.310000,-0.018228,-0.017639,-0.000589,14,hard_stop,-0.575,0.399,-0.000589
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-01-02T12:00:00+00:00,16734.660000,2023-01-12T08:00:00+00:00,18200.800000,0.084308,0.087411,-0.003103,60,time_stop,-0.744,0.466,-0.003103
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-03-04T08:00:00+00:00,22349.460000,2023-03-09T04:00:00+00:00,21688.540000,-0.030887,-0.029772,-0.001114,30,hard_stop,-0.382,0.400,-0.001114
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-03-10T16:00:00+00:00,20024.320000,2023-03-20T12:00:00+00:00,27694.460000,0.375789,0.382841,-0.007052,60,time_stop,-0.621,0.419,-0.007052
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-03-26T12:00:00+00:00,27803.890000,2023-04-05T08:00:00+00:00,28554.380000,0.024524,0.026792,-0.002268,60,time_stop,-0.243,0.476,-0.002268
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-04-07T00:00:00+00:00,28038.660000,2023-04-16T20:00:00+00:00,30304.650000,0.077242,0.080617,-0.003375,60,time_stop,-0.244,0.472,-0.003375
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-05-01T20:00:00+00:00,28068.260000,2023-05-11T16:00:00+00:00,26843.050000,-0.046982,-0.043851,-0.003131,60,time_stop,-0.123,0.378,-0.003131
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-06-06T12:00:00+00:00,26066.110000,2023-06-14T20:00:00+00:00,25128.600000,-0.038783,-0.036167,-0.002616,51,hard_stop,-0.881,0.484,-0.002616
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-07-15T20:00:00+00:00,30289.520000,2023-07-24T00:00:00+00:00,29716.010000,-0.021655,-0.019134,-0.002521,50,hard_stop,-0.264,0.425,-0.002521
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-08-19T16:00:00+00:00,26125.620000,2023-08-29T12:00:00+00:00,27423.440000,0.048894,0.049476,-0.000582,60,time_stop,-0.131,0.419,-0.000582
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-08-29T20:00:00+00:00,27716.340000,2023-08-31T12:00:00+00:00,26922.010000,-0.029337,-0.028859,-0.000478,11,hard_stop,-1.268,0.358,-0.000478
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-09-06T16:00:00+00:00,25689.540000,2023-09-11T12:00:00+00:00,25115.970000,-0.022855,-0.022527,-0.000328,30,hard_stop,-0.145,0.291,-0.000328
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-09-14T20:00:00+00:00,26522.730000,2023-09-24T16:00:00+00:00,26449.170000,-0.003218,-0.002973,-0.000244,60,time_stop,-0.468,0.264,-0.000244
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-09-26T12:00:00+00:00,26126.660000,2023-10-06T08:00:00+00:00,27760.000000,0.061803,0.062316,-0.000513,60,time_stop,-0.067,0.355,-0.000513
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2023-10-17T20:00:00+00:00,28395.910000,2023-10-27T16:00:00+00:00,33698.540000,0.183462,0.186539,-0.003077,60,time_stop,-0.123,0.342,-0.003077
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-04-19T04:00:00+00:00,64547.180000,2024-04-29T00:00:00+00:00,62279.670000,-0.037499,-0.035329,-0.002170,60,time_stop,-0.116,0.507,-0.002170
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-05-03T12:00:00+00:00,61690.740000,2024-05-13T08:00:00+00:00,62738.000000,0.013573,0.016776,-0.003203,60,time_stop,-0.458,0.432,-0.003203
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-07-16T04:00:00+00:00,62895.010000,2024-07-26T00:00:00+00:00,67042.010000,0.063090,0.065735,-0.002646,60,time_stop,-0.475,0.397,-0.002646
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-08-07T12:00:00+00:00,56094.500000,2024-08-17T08:00:00+00:00,59137.120000,0.054114,0.054041,0.000073,60,time_stop,-0.008,0.443,0.000073
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-08-18T20:00:00+00:00,58427.350000,2024-08-28T16:00:00+00:00,58898.850000,0.007985,0.007870,0.000116,60,time_stop,-0.101,0.517,0.000116
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-08-28T20:00:00+00:00,59034.900000,2024-09-04T00:00:00+00:00,56653.980000,-0.041111,-0.040531,-0.000580,38,hard_stop,-0.516,0.377,-0.000580
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-09-07T08:00:00+00:00,54326.000000,2024-09-17T04:00:00+00:00,58695.390000,0.081452,0.080229,0.001222,60,time_stop,-0.589,0.328,0.001222
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-10-08T04:00:00+00:00,62319.990000,2024-10-10T16:00:00+00:00,59727.280000,-0.042731,-0.041803,-0.000928,16,hard_stop,-0.403,0.362,-0.000928
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2024-10-11T20:00:00+00:00,62540.000000,2024-10-21T16:00:00+00:00,67763.000000,0.078104,0.083315,-0.005211,60,time_stop,-0.104,0.378,-0.005211
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-02-08T16:00:00+00:00,96579.990000,2025-02-18T12:00:00+00:00,95546.480000,-0.013577,-0.010901,-0.002676,60,time_stop,-0.044,0.352,-0.002676
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-03-01T12:00:00+00:00,84800.000000,2025-03-10T16:00:00+00:00,79060.840000,-0.068889,-0.067879,-0.001011,56,hard_stop,-1.299,0.455,-0.001011
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-03-15T04:00:00+00:00,83827.310000,2025-03-25T00:00:00+00:00,86520.880000,0.030643,0.031932,-0.001290,60,time_stop,-0.069,0.330,-0.001290
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-03-25T08:00:00+00:00,87370.430000,2025-03-28T12:00:00+00:00,84051.160000,-0.038179,-0.038191,0.000012,20,hard_stop,-0.385,0.248,0.000012
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-04-20T12:00:00+00:00,84344.660000,2025-04-30T08:00:00+00:00,95176.660000,0.128274,0.128225,0.000049,60,time_stop,-0.666,0.333,0.000049
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-05-02T04:00:00+00:00,96350.000000,2025-05-04T20:00:00+00:00,94277.620000,-0.021346,-0.021709,0.000362,17,hard_stop,-1.523,0.415,0.000362
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-06-06T16:00:00+00:00,104219.800000,2025-06-16T12:00:00+00:00,107424.960000,0.028954,0.030554,-0.001600,60,time_stop,-0.227,0.320,-0.001600
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-06-23T16:00:00+00:00,103161.290000,2025-07-03T12:00:00+00:00,109127.840000,0.056100,0.057637,-0.001537,60,time_stop,-0.466,0.339,-0.001537
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-09-21T00:00:00+00:00,115669.410000,2025-09-22T04:00:00+00:00,112519.990000,-0.027602,-0.027428,-0.000174,8,hard_stop,-0.265,0.330,-0.000174
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-10-12T12:00:00+00:00,113198.200000,2025-10-16T16:00:00+00:00,108197.660000,-0.043603,-0.044375,0.000772,26,hard_stop,-0.184,0.403,0.000772
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-10-18T12:00:00+00:00,106948.750000,2025-10-28T08:00:00+00:00,114357.730000,0.067349,0.069076,-0.001727,60,time_stop,-2.176,0.341,-0.001727
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2025-11-24T08:00:00+00:00,86264.720000,2025-12-04T04:00:00+00:00,93397.670000,0.081522,0.082487,-0.000965,60,time_stop,-0.162,0.320,-0.000965
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-02-02T16:00:00+00:00,78341.500000,2026-02-04T20:00:00+00:00,73165.830000,-0.066273,-0.066265,-0.000008,14,hard_stop,-0.683,0.358,-0.000008
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-02-06T04:00:00+00:00,64856.000000,2026-02-16T00:00:00+00:00,68424.820000,0.056745,0.054827,0.001918,60,time_stop,-0.726,0.395,0.001918
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-02-23T20:00:00+00:00,64656.020000,2026-03-05T16:00:00+00:00,70918.070000,0.096496,0.096652,-0.000156,60,time_stop,-0.221,0.355,-0.000156
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-03-06T16:00:00+00:00,68131.790000,2026-03-16T12:00:00+00:00,73274.760000,0.076956,0.075286,0.001671,60,time_stop,-0.240,0.316,0.001671
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-03-17T16:00:00+00:00,74512.170000,2026-03-18T12:00:00+00:00,71467.820000,-0.040856,-0.041057,0.000201,6,hard_stop,-0.227,0.435,0.000201
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-03-19T16:00:00+00:00,70271.990000,2026-03-22T20:00:00+00:00,67859.000000,-0.034412,-0.034538,0.000126,20,hard_stop,-0.653,0.337,0.000126
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-03-23T16:00:00+00:00,70679.050000,2026-03-27T08:00:00+00:00,66702.780000,-0.056828,-0.056458,-0.000369,23,hard_stop,-1.880,0.232,-0.000369
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-03-29T00:00:00+00:00,66912.000000,2026-04-07T20:00:00+00:00,71924.220000,0.074000,0.074708,-0.000707,60,time_stop,-2.430,0.388,-0.000707
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-04-10T16:00:00+00:00,73236.110000,2026-04-12T12:00:00+00:00,70892.030000,-0.031562,-0.032207,0.000645,12,hard_stop,-0.048,0.253,0.000645
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-04-12T16:00:00+00:00,71084.180000,2026-04-22T12:00:00+00:00,79272.900000,0.117645,0.114998,0.002648,60,time_stop,-3.069,0.461,0.002648
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-04-22T16:00:00+00:00,78846.620000,2026-04-28T00:00:00+00:00,76815.180000,-0.024691,-0.025964,0.001274,33,hard_stop,-0.435,0.400,0.001274
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-04-28T16:00:00+00:00,76330.970000,2026-05-08T12:00:00+00:00,80142.140000,0.051190,0.049730,0.001460,60,time_stop,-2.492,0.325,0.001460
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-05-09T04:00:00+00:00,80228.890000,2026-05-16T08:00:00+00:00,78081.710000,-0.028043,-0.026963,-0.001080,44,hard_stop,-0.044,0.368,-0.001080
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-06-06T00:00:00+00:00,60687.040000,2026-06-15T20:00:00+00:00,66328.740000,0.092433,0.092764,-0.000330,60,time_stop,-0.233,0.337,-0.000330
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-06-16T08:00:00+00:00,66481.730000,2026-06-18T08:00:00+00:00,63974.400000,-0.037754,-0.037915,0.000160,13,hard_stop,-0.680,0.278,0.000160
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2026-06-25T08:00:00+00:00,61282.010000,2026-06-30T08:00:00+00:00,59192.700000,-0.035655,-0.034293,-0.001362,31,hard_stop,-0.035,0.220,-0.001362
