bar,equity
423,48668.099131
424,48543.029909
425,48362.588671
426,48794.237419
427,48585.326048
428,48454.109987
429,48551.807617
430,48237.122332
431,47341.494951
432,47340.903182
433,47340.903182
434,47340.903182
435,47211.044121
436,46535.155975
437,47502.356254
438,46667.526345
439,46444.423194
440,46490.820255
441,47166.314328
442,48776.833377
443,48014.035585
444,48065.179864
445,48538.773861
446,49297.707967
447,49592.886592
448,50481.223227
449,50856.819653
450,50720.103678
451,50510.442897
452,50870.024387
453,51342.992898
454,51840.239748
455,51526.088627
456,50883.633016
457,51189.853269
458,51230.691375
459,53062.800464
460,54330.150081
461,53830.712302
462,53990.914000
463,53555.839906
464,53953.384737
465,54337.296588
466,54007.966440
467,54017.764157
468,53692.744471
469,53542.228612
470,52823.280268
471,52221.968073
472,52614.925037
473,52347.483875
474,52019.908690
475,52854.345945
476,53147.754797
477,54038.050582
478,53355.116602
479,52838.901103
480,54968.914988
481,54710.403781
482,55211.822407
483,54877.486265
484,54538.467156
485,54260.917641
486,53841.635226
487,53871.515354
488,53873.879106
489,55371.718782
490,54113.304619
491,55449.010986
492,55097.041805
493,55478.487878
494,55478.302950
495,55478.302950
496,55478.302950
497,55478.302950
498,55478.302950
499,55478.302950
500,55478.302950
501,55478.302950
502,55478.302950
503,55478.302950
504,55478.302950
505,55478.302950
506,55478.302950
507,55478.302950
508,55478.302950
509,55478.302950
510,55478.302950
511,55478.302950
512,55478.302950
513,55478.302950
514,55478.302950
515,55478.302950
516,55478.302950
517,55478.302950
518,55478.302950
519,55478.302950
520,55478.302950
521,55478.302950
522,55478.302950
523,55478.302950
524,55478.302950
525,55478.302950
526,55478.302950
527,55478.302950
528,55478.302950
529,55478.302950
530,55478.302950
531,55478.302950
532,55478.302950
533,55478.302950
534,55478.302950
535,55478.302950
536,55478.302950
537,55478.302950
538,55478.302950
539,55478.302950
540,55478.302950
541,55478.302950
542,55478.302950
543,55478.302950
544,55478.302950
545,55478.302950
546,55478.302950
547,55478.302950
548,55478.302950
549,55478.302950
550,55478.302950
551,55478.302950
552,55478.302950
553,55478.302950
554,55478.302950
555,55478.302950
556,55478.302950
557,55478.302950
558,55478.302950
559,55478.302950
560,55478.302950
561,55478.302950
562,55478.302950
563,55478.302950
564,55478.302950
565,55478.302950
566,55478.302950
567,55478.302950
568,55478.302950
569,55478.302950
570,55478.302950
571,55478.302950
572,55478.302950
573,55478.302950
574,55478.302950
575,55478.302950
576,55478.302950
577,55478.302950
578,55478.302950
579,55478.302950
580,55478.302950
581,55478.302950
582,55478.302950
583,55798.413406
584,55332.089923
585,55720.169767
586,54996.492407
587,54206.587896
588,54497.630120
589,54490.303085
590,54480.770091
591,54471.578019
592,54872.103732
593,55294.094133
594,55266.827085
595,55021.709547
596,55160.734934
597,55226.956936
598,55825.751356
599,54318.247583
600,53844.935523
601,53897.864276
602,51737.816856
603,51737.324115
604,51737.324115
605,51737.324115
606,51737.324115
607,51737.324115
608,51737.324115
609,51737.324115
610,51737.324115
611,52700.222429
612,53081.528573
613,53122.070710
614,52474.250291
615,53864.038422
616,53744.270923
617,54304.004947
618,54295.456661
619,54219.848088
620,53507.518984
621,52513.874281
622,52159.903496
623,52618.019441
624,52968.033050
625,52845.827384
626,52724.288451
627,52753.917599
628,52648.196932
629,52957.348535
630,52917.812361
631,52855.598637
632,52941.255575
633,52564.753594
634,52691.074782
635,53300.853846
636,52778.071164
637,52926.241924
638,53100.362474
639,53538.270964
640,53172.048679
641,52054.980375
642,52177.315493
643,50384.535291
644,50730.738614
645,50774.619940
646,52374.807780
647,53249.994704
648,52943.487819
649,52963.746971
650,53002.650060
651,54202.963683
652,54203.828238
653,54047.691283
654,53869.432891
655,53831.282870
656,54923.862795
657,53448.350634
658,53477.841799
659,53582.933425
660,53949.514292
661,54020.004361
662,54908.254430
663,54107.737891
664,52745.167592
665,52002.135006
666,52208.649106
667,52641.719197
668,52551.070344
669,51429.693236
670,51429.521803
671,51429.521803
672,51429.521803
673,51429.521803
674,51415.340343
675,51546.779548
676,51329.270775
677,50981.101009
678,51382.555335
679,51274.663771
680,51093.741760
