variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-19 08:00:00+00:00,2026-05-19 08:00:00+00:00,85.43,2026-05-19 16:00:00+00:00,2026-05-19 16:00:00+00:00,84.34,-0.012758983963478965,0.00010936,-0.013649623963478966,-2.902e-05,-0.00010936,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-19 16:00:00+00:00,2026-05-19 16:00:00+00:00,84.34,2026-05-20 00:00:00+00:00,2026-05-20 00:00:00+00:00,84.23,-0.0013042447237372468,-2.839e-05,-0.002332634723737247,-0.00010936,2.839e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-23 08:00:00+00:00,2026-05-23 08:00:00+00:00,82.2,2026-05-23 16:00:00+00:00,2026-05-23 16:00:00+00:00,84.19,0.024209245742092378,0.00028322,0.023492465742092378,-0.0001267,-0.00028322,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-23 16:00:00+00:00,2026-05-23 16:00:00+00:00,84.19,2026-05-24 00:00:00+00:00,2026-05-24 00:00:00+00:00,85.81,0.019242190283881744,4.389e-05,0.018286080283881744,-0.00028322,-4.389e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-24 00:00:00+00:00,2026-05-24 00:00:00+00:00,85.81,2026-05-24 08:00:00+00:00,2026-05-24 08:00:00+00:00,86.07,0.0030299498892902843,-5.791e-05,0.0019720398892902843,-4.389e-05,5.791e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-25 00:00:00+00:00,2026-05-25 00:00:00+00:00,85.3,2026-05-25 08:00:00+00:00,2026-05-25 08:00:00+00:00,85.89,0.006916764361078576,4.276e-05,0.005959524361078576,-4.636e-05,-4.276e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-25 08:00:00+00:00,2026-05-25 08:00:00+00:00,85.89,2026-05-25 16:00:00+00:00,2026-05-25 16:00:00+00:00,86.27,0.004424263592967659,-3.864e-05,0.0033856235929676584,-4.276e-05,3.864e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-26 08:00:00+00:00,2026-05-26 08:00:00+00:00,84.38,2026-05-26 16:00:00+00:00,2026-05-26 16:00:00+00:00,84.47,0.0010666034605357755,-4.692e-05,1.968346053577547e-05,-0.00010038,4.692e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-27 00:00:00+00:00,2026-05-27 00:00:00+00:00,83.79,2026-05-27 08:00:00+00:00,2026-05-27 08:00:00+00:00,84.22,0.005131877312328337,8.548e-05,0.0042173573123283365,-0.00014384,-8.548e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-27 08:00:00+00:00,2026-05-27 08:00:00+00:00,84.22,2026-05-27 16:00:00+00:00,2026-05-27 16:00:00+00:00,84.52,0.003562099263832774,-1.025e-05,0.0025518492638327743,-8.548e-05,1.025e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-28 00:00:00+00:00,2026-05-28 00:00:00+00:00,82.54,2026-05-28 08:00:00+00:00,2026-05-28 08:00:00+00:00,81.18,-0.016476859704385727,0.00014123,-0.01733562970438573,-5.061e-05,-0.00014123,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-28 08:00:00+00:00,2026-05-28 08:00:00+00:00,81.18,2026-05-28 16:00:00+00:00,2026-05-28 16:00:00+00:00,81.11,-0.0008622813500863691,3.559e-05,-0.001826691350086369,-0.00014123,-3.559e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-28 16:00:00+00:00,2026-05-28 16:00:00+00:00,81.11,2026-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,82.28,0.014424855135001913,-4.219e-05,0.013382665135001914,-3.559e-05,4.219e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-01 08:00:00+00:00,2026-06-01 08:00:00+00:00,80.78,2026-06-01 16:00:00+00:00,2026-06-01 16:00:00+00:00,79.72,-0.013122059915820827,-3.141e-05,-0.014153469915820827,-2.566e-05,3.141e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-02 16:00:00+00:00,2026-06-02 16:00:00+00:00,76.29,2026-06-03 00:00:00+00:00,2026-06-03 00:00:00+00:00,74.36,-0.025298204220736698,0.00019668,-0.026101524220736697,-4.38e-05,-0.00019668,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-03 00:00:00+00:00,2026-06-03 00:00:00+00:00,74.36,2026-06-03 08:00:00+00:00,2026-06-03 08:00:00+00:00,75.26,0.012103281334050697,4.817e-05,0.011151451334050697,-0.00019668,-4.817e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-03 08:00:00+00:00,2026-06-03 08:00:00+00:00,75.26,2026-06-03 16:00:00+00:00,2026-06-03 16:00:00+00:00,73.35,-0.02537868721764569,4.446e-05,-0.02633422721764569,-4.817e-05,-4.446e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-03 16:00:00+00:00,2026-06-03 16:00:00+00:00,73.35,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00,71.91,-0.019631901840490795,0.00012086,-0.020511041840490796,-4.446e-05,-0.00012086,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00,71.91,2026-06-04 08:00:00+00:00,2026-06-04 08:00:00+00:00,69.17,-0.03810318453622574,0.00018206,-0.038921124536225746,-0.00012086,-0.00018206,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-04 08:00:00+00:00,2026-06-04 08:00:00+00:00,69.17,2026-06-04 16:00:00+00:00,2026-06-04 16:00:00+00:00,69.6,0.0062165678762469145,6.287e-05,0.005279437876246914,-0.00018206,-6.287e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-04 16:00:00+00:00,2026-06-04 16:00:00+00:00,69.6,2026-06-05 00:00:00+00:00,2026-06-05 00:00:00+00:00,68.69,-0.0130747126436781,9.673e-05,-0.0139779826436781,-6.287e-05,-9.673e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-05 00:00:00+00:00,2026-06-05 00:00:00+00:00,68.69,2026-06-05 08:00:00+00:00,2026-06-05 08:00:00+00:00,66.11,-0.03756005240937543,0.00025721,-0.03830284240937543,-9.673e-05,-0.00025721,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-05 08:00:00+00:00,2026-06-05 08:00:00+00:00,66.11,2026-06-05 16:00:00+00:00,2026-06-05 16:00:00+00:00,63.91,-0.03327787021630624,8.011e-05,-0.03419776021630624,-0.00025721,-8.011e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-05 16:00:00+00:00,2026-06-05 16:00:00+00:00,63.91,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,63.9,-0.00015647003598806553,7.32e-05,-0.0010832700359880655,-8.011e-05,-7.32e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,63.9,2026-06-06 08:00:00+00:00,2026-06-06 08:00:00+00:00,62.69,-0.018935837245696363,0.00018542,-0.019750417245696365,-7.32e-05,-0.00018542,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-06 08:00:00+00:00,2026-06-06 08:00:00+00:00,62.69,2026-06-06 16:00:00+00:00,2026-06-06 16:00:00+00:00,62.06,-0.010049449672994037,0.00016398,-0.010885469672994037,-0.00018542,-0.00016398,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-06 16:00:00+00:00,2026-06-06 16:00:00+00:00,62.06,2026-06-07 00:00:00+00:00,2026-06-07 00:00:00+00:00,62.24,0.002900418949403738,7.23e-05,0.001972718949403738,-0.00016398,-7.23e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-07 00:00:00+00:00,2026-06-07 00:00:00+00:00,62.24,2026-06-07 08:00:00+00:00,2026-06-07 08:00:00+00:00,64.95,0.04354113110539837,0.00023704,0.04277817110539837,-7.23e-05,-0.00023704,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-07 08:00:00+00:00,2026-06-07 08:00:00+00:00,64.95,2026-06-07 16:00:00+00:00,2026-06-07 16:00:00+00:00,64.93,-0.0003079291762894121,0.00038757,-0.000920359176289412,-0.00023704,-0.00038757,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-07 16:00:00+00:00,2026-06-07 16:00:00+00:00,64.93,2026-06-08 00:00:00+00:00,2026-06-08 00:00:00+00:00,66.41,0.022793777914677182,0.00025513,0.02204890791467718,-0.00038757,-0.00025513,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-08 00:00:00+00:00,2026-06-08 00:00:00+00:00,66.41,2026-06-08 08:00:00+00:00,2026-06-08 08:00:00+00:00,66.03,-0.0057220298147868665,0.00022946,-0.006492569814786867,-0.00025513,-0.00022946,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-08 08:00:00+00:00,2026-06-08 08:00:00+00:00,66.03,2026-06-08 16:00:00+00:00,2026-06-08 16:00:00+00:00,67.05,0.01544752385279402,1.174e-05,0.01445926385279402,-0.00022946,-1.174e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-09 00:00:00+00:00,2026-06-09 00:00:00+00:00,66.81,2026-06-09 08:00:00+00:00,2026-06-09 08:00:00+00:00,66.87,0.0008980691513247319,2.354e-05,-7.83908486752682e-05,-6.393e-05,-2.354e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-09 16:00:00+00:00,2026-06-09 16:00:00+00:00,64.48,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00,65.01,0.00821960297766755,-1.79e-05,0.007201702977667551,-9.828e-05,1.79e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-10 08:00:00+00:00,2026-06-10 08:00:00+00:00,64.5,2026-06-10 16:00:00+00:00,2026-06-10 16:00:00+00:00,65.35,0.01317829457364339,1.777e-05,0.01219606457364339,-8.438e-05,-1.777e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-11 00:00:00+00:00,2026-06-11 00:00:00+00:00,63.29,2026-06-11 08:00:00+00:00,2026-06-11 08:00:00+00:00,65.1,0.028598514773265915,8.25e-06,0.027606764773265915,-8.243e-05,-8.25e-06,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-12 00:00:00+00:00,2026-06-12 00:00:00+00:00,66.86,2026-06-12 08:00:00+00:00,2026-06-12 08:00:00+00:00,66.37,-0.007328746634759131,9.448e-05,-0.008234266634759131,-9.068e-05,-9.448e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-06-12 08:00:00+00:00,2026-06-12 08:00:00+00:00,66.37,2026-06-12 16:00:00+00:00,2026-06-12 16:00:00+00:00,67.34,0.014615036914268575,2.866e-05,0.013643696914268574,-9.448e-05,-2.866e-05,480,next_event
