variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,poc_dist_at_entry,funding_z_at_entry
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-07T00:00:00,30197.770000,2022-06-07T01:00:00,29568.470000,-0.022039,2,sl_atr,-4.250,1.469
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-07T04:00:00,29522.420000,2022-06-07T09:00:00,29561.540000,0.000125,6,time_stop,-5.851,1.391
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-06-07T16:00:00,29918.310000,2022-06-07T18:00:00,30193.410000,-0.010395,3,sl_atr,1.301,-1.651
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-06-07T20:00:00,31350.330000,2022-06-08T01:00:00,31118.190000,0.006205,6,time_stop,5.072,-1.492
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-06-12T15:00:00,28094.420000,2022-06-12T20:00:00,27377.000000,0.024336,6,tp_atr,1.894,-1.691
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-17T16:00:00,20571.210000,2022-06-17T21:00:00,20554.160000,-0.002029,6,time_stop,-2.684,1.851
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-18T00:00:00,20569.140000,2022-06-18T05:00:00,20424.050000,-0.008254,6,time_stop,-1.590,1.562
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-18T09:00:00,19173.920000,2022-06-18T14:00:00,19077.580000,-0.006225,6,time_stop,-5.240,1.264
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-06-18T17:00:00,18621.130000,2022-06-18T18:00:00,18215.780000,-0.022968,2,sl_atr,-6.103,1.210
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-06-28T08:00:00,21119.320000,2022-06-28T13:00:00,21058.340000,0.001687,6,time_stop,2.048,-2.131
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-07-05T11:00:00,19520.390000,2022-07-05T16:00:00,19552.400000,0.000440,6,time_stop,-1.211,1.543
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-07-06T01:00:00,19877.480000,2022-07-06T06:00:00,20089.670000,0.009475,6,time_stop,-1.899,1.689
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-07-08T01:00:00,22137.210000,2022-07-08T06:00:00,21826.130000,0.012852,6,time_stop,7.237,-2.012
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-07-13T23:00:00,20234.870000,2022-07-14T04:00:00,20083.010000,0.006305,6,time_stop,1.351,-1.651
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-07-17T13:00:00,21117.480000,2022-07-17T18:00:00,20973.900000,-0.007999,6,time_stop,-1.570,1.397
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-07-25T20:00:00,22167.910000,2022-07-25T22:00:00,21658.380000,0.021785,3,tp_atr,1.220,-1.315
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-03T08:00:00,23294.800000,2022-08-03T13:00:00,23341.120000,-0.003188,6,time_stop,1.354,-2.760
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-03T16:00:00,23440.930000,2022-08-03T21:00:00,23267.830000,0.006185,6,time_stop,2.744,-2.530
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-04T01:00:00,23141.210000,2022-08-04T06:00:00,22937.730000,0.007593,6,time_stop,1.571,-1.534
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-06T23:00:00,22954.210000,2022-08-07T04:00:00,22950.570000,-0.001359,6,time_stop,-1.944,1.733
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-08-07T07:00:00,23015.950000,2022-08-07T12:00:00,23115.020000,0.003104,6,time_stop,-1.581,1.426
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-08-10T12:00:00,23985.180000,2022-08-10T17:00:00,23915.640000,0.001699,6,time_stop,4.205,-1.223
