,equal_weight,risk_parity,correlation_off
2024-07-25,129753.84125960867,126184.04246239553,123739.69960106722
2024-07-26,130114.61492160033,126519.86981423831,124077.24004753506
2024-07-27,129667.32116981946,126127.04491653286,123704.40427105901
2024-07-28,130507.1692027846,126721.4429744376,124231.34926346861
2024-07-29,131152.00114407807,127179.7295754824,124603.8711223266
2024-07-30,131675.72287259574,127571.97936658593,124955.33034598622
2024-07-31,131159.04346373054,127266.40350741167,124694.65010971314
2024-08-01,130949.81027198398,127201.9253612782,124648.27553355637
2024-08-02,130691.6217365221,127124.10823719825,124623.84668105471
2024-08-03,129835.77440839427,126569.83297200552,124146.49196234031
2024-08-04,129015.53329583482,125973.55322549744,123596.8644821408
2024-08-05,130938.41896718559,128043.13445618551,125680.35771868099
2024-08-06,131105.1169605927,128317.92302187532,125927.15833435865
2024-08-07,130731.19710047047,127994.52201904797,125603.51683943428
2024-08-08,131081.91562264718,128385.56934089054,126009.08411653813
2024-08-09,130793.93381102757,128303.83188370673,125983.07763078576
2024-08-10,131287.17735165794,128618.70117264516,126253.30928958116
2024-08-11,130766.81409052332,128223.05342742597,125890.59727266658
2024-08-12,131278.52181469483,128654.83645860205,126247.07852051931
2024-08-13,131494.7335117888,128917.45266674792,126492.4851754033
2024-08-14,131034.80804542206,128637.80193736457,126267.06967191523
2024-08-15,131574.3740918053,129227.58677527994,126827.56030158991
2024-08-16,131367.7236320415,129038.06694155089,126665.96104580478
2024-08-17,131727.4960037268,129282.98948196633,126876.78820096832
2024-08-18,131390.99839227466,128946.80507346512,126544.87539487831
2024-08-19,131804.8356215281,129236.58791788355,126804.72687687303
2024-08-20,132019.0225668624,129413.21690005179,126967.41815365572
2024-08-21,131587.8968289466,129008.51487031512,126576.4318562532
2024-08-22,131882.96795871962,129198.23397435073,126735.42576395969
2024-08-23,132155.84536493398,129420.62050916452,126940.51759985041
2024-08-24,131929.26685929,129370.56606787715,126954.71766232436
2024-08-25,132416.97756424092,129855.24800085468,127407.15352819882
2024-08-26,132596.60149262502,130021.37899104576,127548.45165872529
2024-08-27,131707.83054764784,129289.93236668519,126847.5546993624
2024-08-28,132040.37772968138,129486.7210431844,126990.637880752
2024-08-29,131862.3740092343,129379.16793195065,126908.13245290505
2024-08-30,132097.7193186051,129648.31700506771,127191.29193199014
2024-08-31,132590.070584542,130047.42197936912,127564.36493021648
2024-09-01,132618.1155873998,130080.77744147624,127593.09467590126
2024-09-02,132964.02654644175,130388.01678039138,127855.87549592809
2024-09-03,132946.6429038883,130402.54609292038,127864.36799360723
2024-09-04,132817.4797317056,130300.35258976727,127765.13624694834
2024-09-05,132912.4377241045,130460.03838647071,127927.37065304758
2024-09-06,133139.67866945945,130566.66898151963,128005.10322020539
2024-09-07,133332.47812309253,130734.17304491352,128150.6843815208
2024-09-08,133197.52492754173,130704.13131532438,128159.11696531708
2024-09-09,132672.48323338118,130231.50796279492,127690.99241999442
2024-09-10,132722.06945109463,130235.06109052146,127682.04727357264
2024-09-11,133036.7538636746,130361.57373185465,127759.84218985988
2024-09-12,133010.87606441585,130418.19071051512,127842.3906859507
2024-09-13,132483.33162961213,129981.40688005669,127457.76515315978
2024-09-14,132516.12377326915,129997.46138991974,127469.89858123263
2024-09-15,132442.0146679296,129813.66685410676,127184.87984213764
2024-09-16,132484.67463614783,129793.8941836713,127137.50170169544
2024-09-17,132336.2640148654,129576.86631749159,126879.88294593888
2024-09-18,132558.75153674977,129843.47304225563,127150.94385770375
2024-09-19,132029.74342047743,129438.71156442062,126775.83789397469
2024-09-20,130770.59934282364,128375.5305769656,125793.62959224607
2024-09-21,131119.75010569964,128544.87899645843,125876.28888252527
2024-09-22,131052.47326577996,128494.56710213498,125842.17773816499
2024-09-23,131278.89762316266,128696.88847356231,126032.11377795834
2024-09-24,131285.59718500098,128775.28378585972,126116.39408185481
2024-09-25,131277.70066192822,128745.46817109626,126099.50794494791
2024-09-26,131175.2890690641,128695.22794245581,126065.28359954979
2024-09-27,131196.2397967232,128710.68048797388,126051.15106198975
2024-09-28,131216.37257311482,128725.482383493,126063.91088320728
2024-09-29,130435.95357573082,128037.52127926689,125423.16044830641
2024-09-30,130399.4816987858,127958.26361644304,125328.91950593545
2024-10-01,129936.29253184001,127535.68992728612,124930.07315567585
2024-10-02,129973.97472113612,127531.62507726852,124884.67628755329
2024-10-03,130019.65170811975,127577.39683967175,124924.61628707005
2024-10-04,130418.67129848414,127919.67211178565,125265.21887054275
2024-10-05,130480.57128487452,127987.82117732128,125333.89400147412
2024-10-06,130550.8627926645,128075.48890927051,125413.60863005063
2024-10-07,130669.92217439912,128185.92720612045,125496.81082974262
2024-10-08,130725.9174797504,128167.87862730598,125454.67447282761
2024-10-09,131169.49890982822,128542.63985456293,125795.08759004703
2024-10-10,131646.55608573434,128908.34136444857,126111.69684612012
2024-10-11,132126.80053675215,129242.19144208959,126391.17390273859
2024-10-12,132396.3999077669,129423.96375067408,126540.47274268205
2024-10-13,132520.6259249836,129567.78476782622,126667.1918466926
2024-10-14,132781.47049161696,129734.91770212376,126795.83154169886
2024-10-15,132567.96339268849,129469.66738514301,126494.02696975342
2024-10-16,133040.76109783122,129783.08971560573,126764.83053929658
2024-10-17,133013.93650149653,129829.90364113903,126823.3010804739
2024-10-18,133102.8991249833,129964.01867590692,126961.88113936529
2024-10-19,132780.6200837922,129742.9668549473,126771.21627131962
2024-10-20,132217.68402717973,129196.17031040418,126230.30623155923
2024-10-21,132654.20185005642,129507.38311548506,126504.4233961896
2024-10-22,133148.73463091673,129821.46253308427,126755.65576828721
2024-10-23,132426.66416504144,129289.85267728193,126280.87097201595
2024-10-24,133209.2708452985,129842.87419349272,126753.0716169687
2024-10-25,133101.79020296148,129827.88918176951,126727.23983246223
2024-10-26,133760.4547870346,130343.50448547892,127193.90241581008
2024-10-27,134616.75093670445,131025.47340623077,127781.93959147093
2024-10-28,134730.5662444462,131069.5428583566,127791.70085173791
2024-10-29,134199.25914327055,130741.78576247786,127533.97735220258
2024-10-30,134180.72336653885,130753.22684495452,127553.99149588855
2024-10-31,134699.3924102594,131115.82138179088,127867.65254800476
