bar,equity
423,54059.671365
424,54041.218108
425,53734.585461
426,54271.793577
427,54130.352891
428,53647.040469
429,53916.394250
430,53823.133865
431,52314.361389
432,52825.013304
433,54123.752735
434,53876.836852
435,53972.527496
436,53766.454625
437,54953.892957
438,53701.416141
439,53242.561028
440,53524.652368
441,54037.449336
442,55030.088510
443,54394.261849
444,54222.522376
445,54799.853037
446,56098.712786
447,56219.926498
448,56588.130856
449,56905.961195
450,56762.653445
451,56357.294532
452,56382.551416
453,56382.363474
454,56382.363474
455,56382.363474
456,56382.363474
457,56382.363474
458,56382.363474
459,56382.363474
460,56382.363474
461,56382.363474
462,56382.363474
463,56382.363474
464,56382.363474
465,56382.363474
466,56382.363474
467,56382.363474
468,56382.363474
469,56382.363474
470,56382.363474
471,56382.363474
472,56382.363474
473,56382.363474
474,56382.363474
475,56382.363474
476,56382.363474
477,56382.363474
478,56382.363474
479,56382.363474
480,56382.363474
481,56382.363474
482,56382.363474
483,56382.363474
484,56382.363474
485,56382.363474
486,56382.363474
487,56382.363474
488,56382.363474
489,56382.363474
490,56382.363474
491,56382.363474
492,56382.363474
493,56382.363474
494,56382.363474
495,56382.363474
496,56382.363474
497,56382.363474
498,56382.363474
499,56382.363474
500,56382.363474
501,56382.363474
502,56382.363474
503,56382.363474
504,56382.363474
505,56382.363474
506,56382.363474
507,56382.363474
508,56382.363474
509,56382.363474
510,56382.363474
511,56382.363474
512,56382.363474
513,56382.363474
514,56382.363474
515,56382.363474
516,56382.363474
517,56382.363474
518,56382.363474
519,56382.363474
520,56382.363474
521,56382.363474
522,56382.363474
523,56382.363474
524,56382.363474
525,56382.363474
526,56382.363474
527,56382.363474
528,56382.363474
529,56382.363474
530,56382.363474
531,56382.363474
532,56382.363474
533,56382.363474
534,56382.363474
535,56382.363474
536,56382.363474
537,56382.363474
538,56382.363474
539,56382.363474
540,56382.363474
541,56382.363474
542,56382.363474
543,56382.363474
544,56382.363474
545,56382.363474
546,56382.363474
547,56382.363474
548,56382.363474
549,56382.363474
550,56382.363474
551,56382.363474
552,56382.363474
553,56382.363474
554,56382.363474
555,56382.363474
556,56382.363474
557,56382.363474
558,56382.363474
559,56382.363474
560,56382.363474
561,56382.363474
562,56382.363474
563,56382.363474
564,56382.363474
565,56382.363474
566,56382.363474
567,56382.363474
568,56382.363474
569,56382.363474
570,56382.363474
571,56382.363474
572,56382.363474
573,56382.363474
574,56382.363474
575,56382.363474
576,56382.363474
577,56382.363474
578,56382.363474
579,56382.363474
580,56382.363474
581,56382.363474
582,56382.363474
583,56382.363474
584,56382.363474
585,56382.363474
586,56382.363474
587,56382.363474
588,56382.363474
589,56382.363474
590,56382.363474
591,56382.363474
592,56382.363474
593,56382.363474
594,56382.363474
595,56382.363474
596,56382.363474
597,56382.363474
598,56382.363474
599,56382.363474
600,56382.363474
601,56382.363474
602,56382.363474
603,56382.363474
604,56382.363474
605,56382.363474
606,56382.363474
607,56382.363474
608,56382.363474
609,56382.363474
610,55158.509650
611,56245.398279
612,56250.706425
613,56327.194855
614,55756.182279
615,57770.554184
616,57631.136394
617,57756.005329
618,57998.388490
619,57927.432865
620,57431.601703
621,56087.668066
622,55821.369466
623,56052.464652
624,56412.644420
625,56473.933203
626,56453.949164
627,56727.380125
628,56584.067087
629,56914.353451
630,56744.479501
631,56686.417249
632,56717.512444
633,56217.223988
634,56420.837963
635,56653.877414
636,56445.837783
637,56521.414709
638,56772.832226
639,56739.740897
640,56628.886550
641,55651.868275
642,55835.536456
643,54584.327708
644,54696.270564
645,55064.483631
646,57067.875876
647,57239.758134
648,57092.091989
649,57071.250862
650,57071.189243
651,58131.461098
652,58094.034095
653,58203.278918
654,58055.864308
655,57985.530140
656,59031.772939
657,57864.283307
658,57766.804449
659,57994.866767
660,58464.874224
661,58691.894806
662,59514.122813
663,59089.803540
664,57807.395224
665,56767.973227
666,56795.734194
667,57084.773520
668,56908.907499
669,56908.717803
670,56908.717803
671,56908.717803
672,56908.717803
673,56908.717803
674,56908.717803
675,56908.717803
676,56859.381507
677,56417.192616
678,56902.786405
679,56876.895533
680,56683.473723
