variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,pnl_price_pct,pnl_carry_pct,bars_held,exit_reason,funding_sum_24h_bps_at_entry,funding_vol_bps_at_entry,cum_carry_pct_at_exit
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-04-23T04:00:00+00:00,2959.800000,2022-04-25T04:00:00+00:00,2811.410000,-0.049637,-0.050335,0.000698,13,hard_stop,-4.132,0.785,0.000698
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-04-27T08:00:00+00:00,2884.790000,2022-04-30T20:00:00+00:00,2726.660000,-0.054591,-0.055015,0.000424,22,hard_stop,-0.995,0.984,0.000424
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-05-02T08:00:00+00:00,2795.050000,2022-05-07T20:00:00+00:00,2635.340000,-0.059103,-0.057340,-0.001763,34,hard_stop,-3.145,1.177,-0.001763
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-05-12T08:00:00+00:00,1952.760000,2022-05-22T04:00:00+00:00,1975.860000,0.012223,0.011629,0.000594,60,time_stop,-6.301,1.448,0.000594
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-05-24T16:00:00+00:00,1962.850000,2022-05-26T08:00:00+00:00,1816.570000,-0.075271,-0.074724,-0.000547,11,hard_stop,-0.247,0.610,-0.000547
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-05-27T00:00:00+00:00,1768.000000,2022-06-05T20:00:00+00:00,1806.230000,0.017736,0.021423,-0.003688,60,time_stop,-1.974,0.756,-0.003688
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-06-11T04:00:00+00:00,1667.460000,2022-06-11T12:00:00+00:00,1517.600000,-0.089776,-0.090073,0.000297,3,hard_stop,-0.519,0.601,0.000297
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-06-13T04:00:00+00:00,1283.460000,2022-06-16T20:00:00+00:00,1068.500000,-0.166784,-0.167685,0.000901,23,hard_stop,-3.793,0.912,0.000901
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-06-17T04:00:00+00:00,1099.310000,2022-06-18T16:00:00+00:00,915.150000,-0.166464,-0.167723,0.001260,10,hard_stop,-3.851,0.671,0.001260
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-06-19T04:00:00+00:00,955.720000,2022-06-29T00:00:00+00:00,1144.890000,0.198116,0.197735,0.000381,60,time_stop,-9.954,0.717,0.000381
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-06-30T12:00:00+00:00,1032.220000,2022-07-10T08:00:00+00:00,1183.470000,0.145158,0.146329,-0.001171,60,time_stop,-0.430,0.580,-0.001171
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-07-12T20:00:00+00:00,1038.580000,2022-07-22T16:00:00+00:00,1526.200000,0.467378,0.469306,-0.001928,60,time_stop,-0.349,0.470,-0.001928
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-08-04T08:00:00+00:00,1615.710000,2022-08-14T04:00:00+00:00,2016.750000,0.245361,0.248013,-0.002652,60,time_stop,-0.299,0.406,-0.002652
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-08-15T08:00:00+00:00,1891.230000,2022-08-19T04:00:00+00:00,1744.630000,-0.078398,-0.077716,-0.000683,24,hard_stop,-0.457,0.673,-0.000683
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-08-21T08:00:00+00:00,1626.750000,2022-08-27T00:00:00+00:00,1501.860000,-0.076971,-0.076973,0.000002,35,hard_stop,-0.359,0.476,0.000002
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-08-28T00:00:00+00:00,1491.480000,2022-09-06T20:00:00+00:00,1559.010000,0.049713,0.045077,0.004636,60,time_stop,-11.141,0.894,0.004636
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-09-07T00:00:00+00:00,1510.370000,2022-09-16T20:00:00+00:00,1433.900000,-0.019034,-0.050830,0.031796,60,time_stop,-6.442,0.658,0.031796
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-09-19T12:00:00+00:00,1341.530000,2022-09-29T08:00:00+00:00,1336.560000,-0.001329,-0.003905,0.002576,60,time_stop,-0.203,8.903,0.002576
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-10-03T08:00:00+00:00,1299.010000,2022-10-13T04:00:00+00:00,1277.430000,-0.018322,-0.016813,-0.001509,60,time_stop,-0.008,0.476,-0.001509
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-10-16T08:00:00+00:00,1284.030000,2022-10-26T04:00:00+00:00,1515.650000,0.178255,0.180185,-0.001931,60,time_stop,-0.436,0.663,-0.001931
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-11-01T12:00:00+00:00,1574.280000,2022-11-08T08:00:00+00:00,1476.870000,-0.063375,-0.062076,-0.001299,42,hard_stop,-0.010,0.449,-0.001299
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-11-10T08:00:00+00:00,1187.040000,2022-11-20T04:00:00+00:00,1220.390000,0.030138,0.027895,0.002243,60,time_stop,-24.815,2.022,0.002243
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-11-21T04:00:00+00:00,1123.480000,2022-12-01T00:00:00+00:00,1288.020000,0.146150,0.146256,-0.000105,60,time_stop,-2.038,0.653,-0.000105
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-12-03T20:00:00+00:00,1240.510000,2022-12-13T16:00:00+00:00,1316.410000,0.059235,0.060985,-0.001750,60,time_stop,-0.620,0.684,-0.001750
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-12-17T16:00:00+00:00,1176.790000,2022-12-27T12:00:00+00:00,1211.220000,0.026225,0.029058,-0.002833,60,time_stop,-0.302,0.553,-0.002833
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-03-10T12:00:00+00:00,1417.030000,2023-03-20T08:00:00+00:00,1779.410000,0.249645,0.255532,-0.005887,60,time_stop,-0.556,0.395,-0.005887
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-03-28T04:00:00+00:00,1724.530000,2023-04-07T00:00:00+00:00,1876.730000,0.084848,0.088056,-0.003208,60,time_stop,-0.074,0.368,-0.003208
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-04-11T08:00:00+00:00,1915.500000,2023-04-21T04:00:00+00:00,1928.440000,0.001679,0.006555,-0.004877,60,time_stop,-0.052,0.345,-0.004877
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-04-23T04:00:00+00:00,1874.300000,2023-05-03T00:00:00+00:00,1862.660000,-0.009223,-0.006410,-0.002813,60,time_stop,-0.298,0.464,-0.002813
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-05-15T20:00:00+00:00,1816.200000,2023-05-25T16:00:00+00:00,1808.820000,-0.006799,-0.004263,-0.002536,60,time_stop,-0.248,0.299,-0.002536
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-05-28T12:00:00+00:00,1843.740000,2023-06-07T08:00:00+00:00,1870.230000,0.010454,0.014168,-0.003714,60,time_stop,-0.322,0.381,-0.003714
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-06-15T04:00:00+00:00,1639.950000,2023-06-25T00:00:00+00:00,1895.080000,0.152873,0.155372,-0.002498,60,time_stop,-0.668,0.375,-0.002498
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-08-18T04:00:00+00:00,1690.600000,2023-08-22T16:00:00+00:00,1625.210000,-0.038012,-0.038879,0.000867,28,hard_stop,-0.585,0.589,0.000867
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-08-24T20:00:00+00:00,1661.160000,2023-09-03T16:00:00+00:00,1639.010000,-0.013925,-0.013534,-0.000391,60,time_stop,-0.039,0.567,-0.000391
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-09-04T04:00:00+00:00,1638.970000,2023-09-11T08:00:00+00:00,1586.530000,-0.033241,-0.032196,-0.001045,44,hard_stop,-0.634,0.442,-0.001045
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-09-12T08:00:00+00:00,1609.480000,2023-09-22T04:00:00+00:00,1595.650000,-0.009631,-0.008793,-0.000838,60,time_stop,-0.178,0.320,-0.000838
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2023-09-30T12:00:00+00:00,1683.330000,2023-10-04T12:00:00+00:00,1632.630000,-0.031144,-0.030319,-0.000826,25,hard_stop,-0.299,0.298,-0.000826
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2024-04-23T12:00:00+00:00,3226.130000,2024-04-30T08:00:00+00:00,3007.450000,-0.070368,-0.067984,-0.002384,42,hard_stop,-0.031,0.320,-0.002384
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2024-08-05T16:00:00+00:00,2404.900000,2024-08-15T12:00:00+00:00,2668.400000,0.109493,0.109368,0.000125,60,time_stop,-0.327,0.413,0.000125
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2024-08-17T16:00:00+00:00,2614.940000,2024-08-27T12:00:00+00:00,2579.300000,-0.014706,-0.013829,-0.000877,60,time_stop,-0.018,0.387,-0.000877
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2024-08-28T16:00:00+00:00,2504.880000,2024-09-05T12:00:00+00:00,2371.430000,-0.055326,-0.053476,-0.001850,48,hard_stop,-0.705,0.369,-0.001850
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2024-09-10T12:00:00+00:00,2325.010000,2024-09-20T08:00:00+00:00,2544.960000,0.092641,0.094402,-0.001761,60,time_stop,-0.281,0.262,-0.001761
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-02-03T12:00:00+00:00,2700.720000,2025-02-13T08:00:00+00:00,2656.190000,-0.016814,-0.016688,-0.000126,60,time_stop,-2.164,0.574,-0.000126
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-02-25T12:00:00+00:00,2409.800000,2025-02-28T00:00:00+00:00,2147.490000,-0.109791,-0.109051,-0.000740,16,hard_stop,-0.007,0.320,-0.000740
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-03-04T08:00:00+00:00,2101.360000,2025-03-10T16:00:00+00:00,1869.300000,-0.111500,-0.110633,-0.000867,39,hard_stop,-0.368,0.325,-0.000867
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-03-16T08:00:00+00:00,1874.000000,2025-03-26T04:00:00+00:00,2069.250000,0.102285,0.103989,-0.001704,60,time_stop,-0.049,0.321,-0.001704
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-03-30T16:00:00+00:00,1814.220000,2025-04-06T16:00:00+00:00,1626.240000,-0.104769,-0.103815,-0.000954,43,hard_stop,-0.148,0.327,-0.000954
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-04-07T08:00:00+00:00,1483.110000,2025-04-17T04:00:00+00:00,1601.600000,0.078777,0.079693,-0.000916,60,time_stop,-0.008,0.299,-0.000916
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2025-04-18T20:00:00+00:00,1588.600000,2025-04-28T16:00:00+00:00,1797.170000,0.129197,0.131092,-0.001894,60,time_stop,-0.374,0.334,-0.001894
