pair,direction,entry_ts,exit_ts,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,pnl_pct,bars_held,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b
BTCUSDT/ETHUSDT,long_a_short_b,2022-08-22T15:21:00,2022-08-22T15:42:00,-2.6009067405774733,-3.0552130033788543,,1,-0.002107578593315206,22,regime_break,21297.65,1578.69,21344.81,1584.25
BTCUSDT/ETHUSDT,short_a_long_b,2022-08-30T12:29:00,2022-08-30T12:30:00,2.515027743967868,3.626543095438309,,-1,-0.0028279783055806577,2,regime_break,20355.59,1577.31,20316.6,1571.09
BTCUSDT/ETHUSDT,short_a_long_b,2022-09-02T16:51:00,2022-09-02T16:52:00,2.6489518143283215,3.2179671875849483,,-1,-0.0017986945539216529,2,regime_break,20116.04,1609.76,20118.51,1608.35
BTCUSDT/ETHUSDT,short_a_long_b,2022-09-02T16:53:00,2022-09-02T16:55:00,3.565225949553114,3.603206252931077,,-1,-0.0009571284549528596,3,regime_break,20115.33,1607.01,20128.88,1607.84
BTCUSDT/ETHUSDT,short_a_long_b,2022-09-02T16:56:00,2022-09-02T16:57:00,3.329055547197596,3.430404391394366,,-1,-0.0010578583880705753,2,regime_break,20132.35,1608.87,20112.89,1606.9
BTCUSDT/ETHUSDT,short_a_long_b,2022-09-02T16:58:00,2022-09-02T17:01:00,3.2388498863598842,3.3969311350462683,,-1,-0.0013360105833758232,4,regime_break,20122.34,1608.1,20094.21,1604.99
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-11T07:31:00,2022-10-11T07:32:00,-3.419636500374727,-3.0504699498956365,,1,-0.000561433940766553,2,regime_break,19093.52,1283.74,19098.67,1283.78
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-11T07:33:00,2022-10-11T07:37:00,-2.9013326966448254,-3.031487008567794,,1,-0.001019883299038548,5,regime_break,19100.03,1283.77,19106.84,1284.51
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-11T07:38:00,2022-10-11T07:46:00,-2.624765750797061,-3.0484884737596927,,1,-0.0013542421097700644,9,regime_break,19100.75,1283.7,19078.26,1282.9
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-15T13:57:00,2022-10-15T13:58:00,-3.372673813601894,-3.0742393323551496,,1,-0.000619429860826836,2,regime_break,19174.93,1289.87,19174.23,1289.59
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-15T13:59:00,2022-10-15T14:01:00,-2.770125948010188,-3.0333861041098142,,1,-0.0010597691055923334,3,regime_break,19168.68,1288.96,19176.49,1289.82
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-15T14:02:00,2022-10-15T14:03:00,-4.445915671121992,-3.6210680496855545,,1,-0.00021074714922006898,2,regime_break,19172.43,1291.14,19162.79,1289.73
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-15T14:04:00,2022-10-15T14:05:00,-3.720436196232788,-3.8581805922458092,,1,-0.0009611507317125227,2,regime_break,19166.81,1290.19,19161.79,1290.06
BTCUSDT/ETHUSDT,long_a_short_b,2022-10-15T14:06:00,2022-10-15T15:43:00,-3.4319637397095777,-0.37250631944338586,,1,0.0004996529963372749,98,z_mean_revert,19159.62,1289.5,19131.18,1285.91
