symbol,tf,er,fast,slow,lb,year,roll2y_t
ETH,1d,10,3,50,1,2022,1.75867776792509
ETH,1d,10,3,50,1,2023,0.6676116679892034
ETH,1d,10,3,50,1,2024,1.3993739809070251
ETH,1d,10,3,50,1,2025,0.943410646636535
ETH,1d,10,3,50,1,2026,0.5741794393052886
ETH,1d,20,3,20,1,2019,
ETH,1d,20,3,20,1,2020,
ETH,1d,20,3,20,1,2021,3.537584367483644
ETH,1d,20,3,20,1,2022,1.7421171311686159
ETH,1d,20,3,20,1,2023,0.16321017907661334
ETH,1d,20,3,20,1,2024,1.420891624036301
ETH,1d,20,3,20,1,2025,1.2042567237003547
ETH,1d,20,3,20,1,2026,0.37281022028622984
SOL,1h,20,3,50,10,2020,
SOL,1h,20,3,50,10,2021,
SOL,1h,20,3,50,10,2022,1.8784349034434975
SOL,1h,20,3,50,10,2023,0.9892079091695155
SOL,1h,20,3,50,10,2024,2.9273730966616074
SOL,1h,20,3,50,10,2025,1.113084166222195
SOL,1h,20,3,50,10,2026,0.2098703803285888
SOL,1h,10,3,50,10,2020,
SOL,1h,10,3,50,10,2021,
SOL,1h,10,3,50,10,2022,1.9795975949713245
SOL,1h,10,3,50,10,2023,0.8122483562436984
SOL,1h,10,3,50,10,2024,3.02176897692213
SOL,1h,10,3,50,10,2025,0.9702643774837898
SOL,1h,10,3,50,10,2026,0.014293285133376746
SOL,1h,15,2,20,10,2020,
SOL,1h,15,2,20,10,2021,
SOL,1h,15,2,20,10,2022,2.151453736518767
SOL,1h,15,2,20,10,2023,1.5798990016491605
SOL,1h,15,2,20,10,2024,2.7630442434795985
SOL,1h,15,2,20,10,2025,0.6229569689776414
SOL,1h,15,2,20,10,2026,-0.2853768926754304
SOL,1h,10,3,30,10,2020,
SOL,1h,10,3,30,10,2021,
SOL,1h,10,3,30,10,2022,1.7295547708924783
SOL,1h,10,3,30,10,2023,0.6359350847264736
SOL,1h,10,3,30,10,2024,2.9643945196238017
SOL,1h,10,3,30,10,2025,1.0692763543844457
SOL,1h,10,3,30,10,2026,0.21905554265741356
SOL,1h,20,3,20,10,2020,
SOL,1h,20,3,20,10,2021,
SOL,1h,20,3,20,10,2022,1.7809678663688886
SOL,1h,20,3,20,10,2023,0.9784134822102456
SOL,1h,20,3,20,10,2024,2.985269939680822
SOL,1h,20,3,20,10,2025,0.8285394208632126
SOL,1h,20,3,20,10,2026,-0.3473031232991338
SOL,4h,15,2,20,10,2020,
SOL,4h,15,2,20,10,2021,
SOL,4h,15,2,20,10,2022,2.5279553167809357
SOL,4h,15,2,20,10,2023,2.133264840677725
SOL,4h,15,2,20,10,2024,2.9244948081894426
SOL,4h,15,2,20,10,2025,0.9150490249024131
SOL,4h,15,2,20,10,2026,0.19343314344057916
SOL,4h,20,2,20,10,2020,
SOL,4h,20,2,20,10,2021,
SOL,4h,20,2,20,10,2022,2.8009122833681355
SOL,4h,20,2,20,10,2023,1.629448210075026
SOL,4h,20,2,20,10,2024,2.508857318485505
SOL,4h,20,2,20,10,2025,0.7969302259217016
SOL,4h,20,2,20,10,2026,0.08515848402046375
SOL,4h,15,2,30,10,2020,
SOL,4h,15,2,30,10,2021,
SOL,4h,15,2,30,10,2022,2.4382903045873983
SOL,4h,15,2,30,10,2023,2.0266219055591557
SOL,4h,15,2,30,10,2024,3.008858784474366
SOL,4h,15,2,30,10,2025,0.7823778394436461
SOL,4h,15,2,30,10,2026,0.035230231824458204
SOL,4h,20,3,20,10,2020,
SOL,4h,20,3,20,10,2021,
SOL,4h,20,3,20,10,2022,2.540609766267316
SOL,4h,20,3,20,10,2023,1.7527135783881038
