symbol,tf,er,fast,slow,lb,t,ann_ret,n_bars,n_rt
BTC,4h,10,2,50,3,1.797013817815545,8.862939635978506e-05,15067,612
BTC,4h,10,2,50,5,1.6480993200727312,7.837383197051295e-05,15067,494
BTC,4h,10,2,50,10,2.437429213323594,0.000133736118355543,15067,375
BTC,4h,10,3,20,1,1.9871877555260817,0.00010170577419987836,15067,782
BTC,4h,10,3,20,3,1.8441699553208042,9.212670556824065e-05,15067,483
BTC,4h,10,3,20,5,1.9811356282275427,0.00010153470179963264,15067,379
BTC,4h,10,3,20,10,2.6587966815108475,0.00014733890045115494,15067,304
BTC,4h,10,3,30,1,2.0326105876712304,0.00010422138100252276,15067,714
BTC,4h,10,3,30,3,2.0409895821316377,0.00010538250945546501,15067,444
BTC,4h,10,3,30,5,2.249144257872545,0.00011962468737847232,15067,362
BTC,4h,10,3,30,10,2.3386246632801098,0.0001250532238783464,15067,288
BTC,4h,10,3,50,1,1.9960957070344891,0.0001015738213621109,15067,654
BTC,4h,10,3,50,3,2.1787926198100367,0.00011452278137258354,15067,420
BTC,4h,10,3,50,5,2.222424730841278,0.00011755256006940051,15067,344
BTC,4h,10,3,50,10,2.4050680639760222,0.00012952307935365504,15067,276
BTC,4h,15,2,20,1,1.35293971379416,5.8074505479677185e-05,15067,949
BTC,4h,15,2,20,3,2.0613385251299357,0.00010785470969776334,15067,563
BTC,4h,15,2,20,5,1.9498541848178144,9.993864585200463e-05,15067,439
BTC,4h,15,2,20,10,1.9981698270941692,0.00010329765055683282,15067,321
BTC,4h,15,2,30,1,1.2825989051992674,5.2870325387255335e-05,15067,903
BTC,4h,15,2,30,3,1.5731972423743819,7.3504130162938e-05,15067,530
BTC,4h,15,2,30,5,1.841788857895091,9.21439043919392e-05,15067,419
BTC,4h,15,2,30,10,2.1658938879634664,0.00011474200091310394,15067,312
BTC,4h,15,2,50,1,1.5100317971652837,6.842245805072089e-05,15067,880
BTC,4h,15,2,50,3,1.6332880025682446,7.75006333679773e-05,15067,511
BTC,4h,15,2,50,5,1.8820064796849933,9.450223458484786e-05,15067,404
BTC,4h,15,2,50,10,2.0266194864932654,0.00010483590442800228,15067,305
BTC,4h,15,3,20,1,1.735229172678242,8.405829946922516e-05,15067,702
BTC,4h,15,3,20,3,2.0025494191459114,0.00010326617950218164,15067,432
BTC,4h,15,3,20,5,2.157744056616239,0.00011388144584323356,15067,337
BTC,4h,15,3,20,10,2.2984867613437654,0.00012293086280279475,15067,253
BTC,4h,15,3,30,1,1.9266580106910765,9.698860079443428e-05,15067,624
BTC,4h,15,3,30,3,2.1522119606455603,0.00011285897642876463,15067,386
BTC,4h,15,3,30,5,2.3707915409929017,0.00012850063446023796,15067,306
BTC,4h,15,3,30,10,2.236449000367523,0.00011809050328692727,15067,230
BTC,4h,15,3,50,1,1.9582380642452486,9.867066269797498e-05,15067,562
BTC,4h,15,3,50,3,2.2293694743489674,0.0001179828534643157,15067,356
BTC,4h,15,3,50,5,2.447730061755493,0.00013220369393751596,15067,280
BTC,4h,15,3,50,10,2.2905644917357533,0.00012167411793284622,15067,221
BTC,4h,20,2,20,1,1.205795382421691,4.7558818966786376e-05,15067,847
BTC,4h,20,2,20,3,1.709547193376797,8.313889153610532e-05,15067,492
BTC,4h,20,2,20,5,2.1437140510569943,0.00011372461292746827,15067,391
BTC,4h,20,2,20,10,2.0298436397568853,0.00010513580573778825,15067,286
BTC,4h,20,2,30,1,1.1388519306309792,4.286366385275464e-05,15067,799
BTC,4h,20,2,30,3,1.3666109988476551,5.879691002541598e-05,15067,482
BTC,4h,20,2,30,5,1.821200287156035,9.009322653819041e-05,15067,381
BTC,4h,20,2,30,10,2.0678711680022266,0.00010715315209819387,15067,278
BTC,4h,20,2,50,1,1.2229966056334722,4.860938093464995e-05,15067,733
BTC,4h,20,2,50,3,1.7007508004435214,8.187590706998371e-05,15067,448
BTC,4h,20,2,50,5,2.2095352279406315,0.00011655801514121045,15067,362
BTC,4h,20,2,50,10,2.203035595200347,0.00011596789501577831,15067,259
BTC,4h,20,3,20,1,1.4888737095035791,6.682639215815911e-05,15067,641
BTC,4h,20,3,20,3,2.0518019872006885,0.00010617808632407133,15067,396
BTC,4h,20,3,20,5,2.2953567430320176,0.00012217862946561908,15067,314
