symbol,tf,er,fast,slow,lb,year,t,mean
ETH,1h,15,2,20,10,2019,-0.06971832584697862,-7.372457480724441e-06
ETH,1h,15,2,20,10,2020,2.831690524185578,0.00019797538178624197
ETH,1h,15,2,20,10,2021,1.6932912665225532,0.00014134767146427605
ETH,1h,15,2,20,10,2022,0.5403181565534546,3.431691013753686e-05
ETH,1h,15,2,20,10,2023,1.637644391910605,6.390851568616121e-05
ETH,1h,15,2,20,10,2024,1.0156398931475008,5.135231180986336e-05
ETH,1h,15,2,20,10,2025,-0.42759485784293194,-2.4672450204442296e-05
ETH,1h,15,2,20,10,2026,0.13426710939092018,7.866800935509647e-06
ETH,1h,15,2,20,10,20242026,0.3738444821891357,1.2181833322188075e-05
ETH,4h,5,2,50,10,2019,-0.5053153463970728,-0.00019889832889119564
ETH,4h,5,2,50,10,2020,3.0564163567295224,0.0008599618819992154
ETH,4h,5,2,50,10,2021,1.5964841973603403,0.0005544061116858661
ETH,4h,5,2,50,10,2022,-0.6123022222961434,-0.00014665704531405152
ETH,4h,5,2,50,10,2023,0.7618454041957833,0.00012601363117804572
ETH,4h,5,2,50,10,2024,1.6339148917370794,0.00031410184881364346
ETH,4h,5,2,50,10,2025,1.0890625745462779,0.00023511134532561517
ETH,4h,5,2,50,10,2026,-0.19667257063750768,-4.557321008909897e-05
ETH,4h,5,2,50,10,20242026,1.65285126242317,0.00020452394192454893
ETH,4h,15,2,20,5,2019,-0.13621979104631438,-4.838345965269898e-05
ETH,4h,15,2,20,5,2020,2.6833723368209474,0.0007360821269871109
ETH,4h,15,2,20,5,2021,1.8659715544648334,0.0006433107229294078
ETH,4h,15,2,20,5,2022,0.0802417324696826,1.850834247444901e-05
ETH,4h,15,2,20,5,2023,0.843323612468401,0.00013890805385303212
ETH,4h,15,2,20,5,2024,1.4010437322277298,0.000270865899950236
ETH,4h,15,2,20,5,2025,0.6820620438287117,0.00013891182097487795
ETH,4h,15,2,20,5,2026,-0.6333188396052051,-0.00014719270842641514
ETH,4h,15,2,20,5,20242026,1.0575989839395026,0.00012784746667756595
ETH,4h,20,3,50,3,2019,-1.1887040377145237,-0.0003415595900228433
ETH,4h,20,3,50,3,2020,2.594137056759613,0.0007205447628975367
ETH,4h,20,3,50,3,2021,2.0360279165459447,0.0007128345729805558
ETH,4h,20,3,50,3,2022,0.11252069884342285,2.5199269373622926e-05
ETH,4h,20,3,50,3,2023,0.9439336971237702,0.00016384847420951431
ETH,4h,20,3,50,3,2024,1.3519913364457965,0.00025408552942927205
ETH,4h,20,3,50,3,2025,0.14213035629437443,2.7900828207058524e-05
ETH,4h,20,3,50,3,2026,-0.19938997182321774,-4.311000684560696e-05
ETH,4h,20,3,50,3,20242026,0.8674515787585239,0.00010079225925570566
ETH,4h,15,2,50,5,2019,-0.005988982801236642,-2.1157502292002275e-06
ETH,4h,15,2,50,5,2020,2.547121281584189,0.0007025734613524454
ETH,4h,15,2,50,5,2021,1.8327211739387905,0.0006323287482497467
ETH,4h,15,2,50,5,2022,0.35361282872837363,7.893831432971178e-05
ETH,4h,15,2,50,5,2023,0.6312156803818947,0.00010482809763453737
ETH,4h,15,2,50,5,2024,1.422343564032639,0.00027537170675919566
ETH,4h,15,2,50,5,2025,0.37324154712436275,7.643044755660972e-05
ETH,4h,15,2,50,5,2026,-0.4944853785094232,-0.00011240500060002137
ETH,4h,15,2,50,5,20242026,0.9345332426187616,0.00011286338986006814
ETH,4h,5,2,30,10,2019,-0.43271885542376265,-0.00017078690543093457
ETH,4h,5,2,30,10,2020,3.0285331268428974,0.0008519033861410176
ETH,4h,5,2,30,10,2021,1.34832599392006,0.00046718264706889365
ETH,4h,5,2,30,10,2022,-0.5487151554281362,-0.00013108213762978938
ETH,4h,5,2,30,10,2023,0.6400315049283737,0.00010558482339828458
ETH,4h,5,2,30,10,2024,1.6263528788563584,0.0003123422368131132
ETH,4h,5,2,30,10,2025,1.0645436463517235,0.0002298003973584358
ETH,4h,5,2,30,10,2026,-0.14662101458266077,-3.3953196993003485e-05
ETH,4h,5,2,30,10,20242026,1.6519703230138532,0.00020430982727122097
ETH,1d,10,3,30,1,2019,-1.4063927006109593,-0.0009782732292023687
ETH,1d,10,3,30,1,2020,2.777016077853506,0.005199834634754387
ETH,1d,10,3,30,1,2021,2.4050332984976395,0.005309962391927727
ETH,1d,10,3,30,1,2022,-0.09262493445019043,-0.00011906982966932941
