event_start,pair,leader,laggard,z_at_event,in_sample,ret_4h_ETHUSDT,ret_4h_BTCUSDT,ret_12h_ETHUSDT,ret_12h_BTCUSDT,ret_24h_ETHUSDT,ret_24h_BTCUSDT,ret_4h_SOLUSDT,ret_12h_SOLUSDT,ret_24h_SOLUSDT
2026-07-13 16:00:00.004000+00:00,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2.2529490100191834,False,1.1937541020135e-06,-0.002370458107227913,0.0011443258001717638,-0.002962269141635887,0.055370246526696976,0.03392287252522541,,,
2026-07-15 16:00:00+00:00,BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,-2.222112291872022,False,-0.0036283712066536022,-0.005127951950926857,-0.009076918943031087,-0.014214452958787094,-0.025955335849280448,-0.010936714268251269,,,
2026-05-05 16:00:00+00:00,BTCUSDT-SOLUSDT,SOLUSDT,BTCUSDT,-2.1829319902571656,True,,-0.003845930677268128,,-0.004799439454062027,,0.0020646147824636696,0.004693157667992942,0.01757927577195506,0.040659281697228655
2026-05-13 16:00:00.001000+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,2.4348262720606266,True,,0.003132828464307069,,0.008877511638622826,,0.031196814567907127,0.004041872036303795,0.006507869049913628,0.030224729755874424
2026-05-16 16:00:00.005000+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,2.4834288989978246,True,,-0.0005430371502083142,,-0.0008975155036619054,,-0.0023927634145491927,0.00041964473727817975,0.0032777856819363738,-0.00030013882794588387
2026-05-23 16:00:00.003000+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,3.684172325775659,True,,0.008119989153352547,,0.016605503350755946,,0.01130671774116565,0.009774818759750836,0.02153984776051332,0.014369085556151573
2026-05-27 00:00:00+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,2.0696857172498757,True,,0.00025978959857098083,,-0.0037019485835844135,,-0.019543818362340204,0.0030137024553207326,0.0074389611432290614,-0.015294955827129031
2026-06-03 00:00:00.013000+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,2.3179819736104528,True,,0.003447042085765517,,-0.001701544901439922,,-0.03916960442337636,0.007082911785528445,0.0008809286054669574,-0.034919783499488544
2026-06-07 16:00:00+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,3.3550770282481466,True,,0.009917113719317694,,0.01948912416723636,,0.02696402110762741,0.011627512781028582,0.02032785206348331,0.03387742302726826
2026-06-23 16:00:00.002000+00:00,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,3.1964896743709135,False,,0.001917309706406689,,0.0033006551187446664,,-0.03524007470035295,0.005556051212099344,0.008789377050933522,-0.02300294842334849
2026-07-01 08:00:00+00:00,BTCUSDT-SOLUSDT,SOLUSDT,BTCUSDT,-2.087842982028796,False,,0.011714225933280531,,0.02239779747371662,,0.023520539830179432,0.017179957554359637,0.034478923337246226,0.041680557550400676
2026-05-03 16:00:00+00:00,ETHUSDT-SOLUSDT,ETHUSDT,SOLUSDT,2.1567627572025634,True,-0.0012071783088543064,,0.0062404707818992655,,0.009135563692698634,,-0.0014595556440744062,0.002820896324044808,0.003976166588416374
2026-05-05 16:00:00+00:00,ETHUSDT-SOLUSDT,SOLUSDT,ETHUSDT,-2.1041767841222274,True,-0.004258740095982039,,-0.006170258515429405,,-0.009127444537366913,,0.004693157667992942,0.01757927577195506,0.040659281697228655
2026-05-07 08:00:00+00:00,ETHUSDT-SOLUSDT,SOLUSDT,ETHUSDT,-2.087966316105362,True,-0.010767645719040209,,-0.022245702513129517,,-0.027165755442522532,,-0.010308824467038957,-0.019907139431459497,-0.0213995363538928
