symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
BTCUSDT,long,2023-01-27,23239.547110000003,2023-01-28,22944.17204,stop,-1035.8982152227074,-0.012710018340800655,15,169.32503281622076,0.01
BTCUSDT,long,2023-01-29,23267.16848,2023-01-29,23643.471515,target,1426.0286093209306,0.016173134058983685,17,113.75895358385094,0.01
BTCUSDT,long,2023-01-29,23933.68676,2023-01-30,23634.574880000004,stop,-1119.7622455770957,-0.012497526310902396,6,157.87471863903318,0.01
BTCUSDT,long,2023-02-01,23421.068985,2023-02-02,24153.565225,target,2538.9479331030407,0.031275098522152156,5,169.92189598693585,0.01
BTCUSDT,short,2023-02-09,22552.21766,2023-02-09,21999.660935,target,2286.0602690689975,0.025116601870937005,16,141.0101687165746,0.01
BTCUSDT,short,2023-02-12,21770.98757,2023-02-13,21426.192430000003,target,1501.4683983469174,0.016092226424571532,20,99.94874913250258,0.01
BTCUSDT,long,2023-02-16,24620.044755,2023-02-16,24500.234440000004,trailing,-284.3168800557735,-0.004866372754081305,21,265.93931310223206,0.01
BTCUSDT,long,2023-02-17,24561.276735000003,2023-02-19,24325.19739,trailing,-545.1547531445464,-0.009611851515177405,46,272.47382033302165,0.01
BTCUSDT,long,2023-02-23,24568.407415,2023-02-23,23744.529700000003,stop,-2471.3391425016766,-0.03353403015032175,9,208.54747512453235,0.01
BTCUSDT,short,2023-02-28,23174.599835,2023-03-01,23405.97829,stop,-878.7395862341558,-0.009885442605014005,6,158.79943532727552,0.01
BTCUSDT,long,2023-03-19,27587.93993,2023-03-20,27634.326240000002,trailing,112.91152850554583,0.001681398107930443,10,247.83437215378882,0.01
BTCUSDT,long,2023-03-21,28231.20338,2023-03-22,27985.948015,trailing,-492.98730540470706,-0.00868738614145459,30,300.4924285018734,0.01
BTCUSDT,long,2023-03-23,28623.741305,2023-03-23,27861.9443,stop,-1433.9834997336966,-0.02661416608271716,3,319.139006352013,0.01
BTCUSDT,long,2023-03-26,27907.748925000004,2023-03-26,27753.52717,trailing,-490.7853402877786,-0.005526126647278584,3,155.56270327088748,0.01
