symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry,risk_per_trade
ETHUSDT,short,2023-08-21,1660.176535,2023-08-21,1671.1295400000001,stop,-670.6358540545094,-0.0065542525207232805,6,8.87341759442142,0.01
ETHUSDT,short,2023-08-22,1658.44394,2023-08-22,1623.7507150000001,target,2171.8662220339065,0.02136610298582675,4,5.939096129376488,0.01
ETHUSDT,short,2023-08-22,1606.416015,2023-08-22,1632.537515,stop,-1319.7147655475633,-0.016000551142005492,2,13.460459106490777,0.01
ETHUSDT,short,2023-08-24,1648.4890300000002,2023-08-27,1656.761125,trailing,-511.7866657829413,-0.004992931615292351,74,9.428351443255817,0.01
ETHUSDT,short,2023-08-28,1645.3443200000002,2023-08-28,1652.9169000000002,stop,-467.25328631673733,-0.004581343442008445,7,5.05894854286716,0.01
ETHUSDT,long,2023-08-31,1716.2705500000002,2023-08-31,1701.693625,stop,-862.2743347339364,-0.008493372446436331,2,6.790778906206409,0.01
ETHUSDT,short,2023-09-01,1608.74951,2023-09-01,1626.59644,stop,-1078.329390416143,-0.010971947042992425,3,10.968301695584586,0.01
ETHUSDT,short,2023-09-03,1630.3618800000002,2023-09-03,1636.5514850000002,stop,-376.63155156743494,-0.00378210221721198,3,5.035482782444458,0.01
ETHUSDT,short,2023-09-04,1628.6493150000001,2023-09-05,1629.5220450000002,trailing,-53.132156349636446,-0.0005355742210900738,18,5.814724987313547,0.01
ETHUSDT,short,2023-09-06,1626.786525,2023-09-06,1643.760655,stop,-1023.8917905241838,-0.010326399983092482,3,5.461409372467328,0.01
ETHUSDT,short,2023-09-10,1627.71792,2023-09-10,1611.05978,target,1014.6399436762628,0.010339864607631144,12,3.7310991984753565,0.01
ETHUSDT,short,2023-09-11,1596.320895,2023-09-11,1556.771335,target,2518.728882744819,0.02540486140181919,5,8.074528348719259,0.01
ETHUSDT,short,2023-09-11,1541.679055,2023-09-12,1582.432785,stop,-2291.7823351086395,-0.02575384584186302,8,11.724125216384653,0.01
