lookback,thr,hold_bars,is_sharpe,oos_sharpe,is_ann,oos_ann,oos_n,n_entries_total,cost_per_entry
1440,0.7,15,-137.98532321353778,-128.81549022361,-31.736892068277232,-30.39557718067106,0,4021,0.0017828427124746192
1440,0.7,60,-81.99859114545957,-77.16351821151812,-11.394012619607714,-10.430629224814242,0,1434,0.0017828427124746192
1440,0.7,240,-43.38792236100407,-41.76139955718312,-3.23604298295954,-3.192921227609662,0,410,0.0017828427124746192
1440,1.0,1,-174.9409404654253,-147.6827388259668,-54.51791256808723,-50.643658924137995,0,7416,0.0017828427124746192
1440,1.0,5,-155.2255452913286,-143.69303137243656,-40.73707385689768,-38.63672169420041,0,5290,0.0017828427124746192
1440,1.0,15,-119.54697731503764,-112.06261554222955,-24.11664720708956,-22.89331926655159,0,3102,0.0017828427124746192
1440,1.0,60,-75.68262917384183,-69.80506314054767,-9.96796063235233,-9.085902286079966,0,1269,0.0017828427124746192
1440,1.0,240,-42.38699673854968,-38.4923192825336,-3.038990238257185,-2.760407946632749,0,394,0.0017828427124746192
1440,1.5,1,-129.91804248287593,-107.76459827185052,-31.25702269911398,-29.235868888531353,0,4371,0.0017828427124746192
1440,1.5,5,-118.19018864358368,-109.64398733935236,-24.57963515302147,-23.501093046205177,0,3308,0.0017828427124746192
1440,1.5,15,-97.13269336444654,-87.78779822598459,-16.343560862004733,-14.620324249531915,0,2159,0.0017828427124746192
1440,1.5,60,-67.49388227192739,-59.47127880781338,-8.096861639891424,-6.951460511324421,0,1049,0.0017828427124746192
1440,1.5,240,-38.96710577962898,-38.68521814669417,-2.6734314672586237,-2.664242484798286,0,366,0.0017828427124746192
1440,2.0,1,-102.6935685872455,-83.69076799816517,-20.07178849980633,-18.873238655238758,0,2842,0.0017828427124746192
1440,2.0,5,-95.95855559185617,-85.13747641707602,-16.741746075189774,-15.361563150319387,0,2257,0.0017828427124746192
1440,2.0,15,-80.29723026162117,-69.46456277204564,-11.792939385789802,-10.27376367568517,0,1576,0.0017828427124746192
1440,2.0,60,-60.79531906531752,-49.14553929177513,-6.6866888666187165,-5.484284921024387,0,858,0.0017828427124746192
1440,2.0,240,-38.52788743457295,-32.97461482297558,-2.612574768537885,-2.221765785051267,0,335,0.0017828427124746192
