variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-20T17:30:00,2056.8,58.35,2023-11-20T18:00:00,2044.79,57.73,-0.0055863679222173165,2,2.538212905414894,2.692966587877834,0.00010084404908830608,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-20T18:30:00,2044.96,57.25,2023-11-20T19:00:00,2042.43,57.44,0.003755965306033971,2,2.9848186690068776,2.682952569173003,0.00010084404908830608,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-20T20:30:00,2034.98,57.11,2023-11-20T22:00:00,2031.46,57.3,0.004256659704658073,4,2.5595872922247924,2.1389074789123064,0.00010084404908830608,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-20T22:30:00,2024.06,56.44,2023-11-21T01:30:00,2031.74,57.03,0.005859225099655552,7,2.5262793783108646,1.9749619965350518,0.00010084404908830608,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-21T02:30:00,2011.23,55.4,2023-11-21T04:30:00,2014.71,55.73,0.0034263942475633254,5,2.5099272451753087,2.164280896307304,0.00010065648262423807,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-11-25T02:30:00,2086.66,59.61,2023-11-25T03:00:00,2088.47,59.21,0.006777698421346812,2,-2.724721819256863,-2.069139242766147,0.0001000321728550695,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-11-27T14:00:00,2017.6,54.24,2023-11-27T14:30:00,2015.78,54.21,-0.00045103548946265825,2,2.6724182477378506,2.5947572695695684,0.0001000055395988522,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-11-29T06:30:00,2062.03,59.51,2023-11-29T08:30:00,2071.27,61.25,-0.025557762268085014,5,-2.603633746540481,-3.57648666441658,0.00010000157672505733,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-11-29T09:00:00,2065.4,61.23,2023-11-29T09:30:00,2066.23,61.19,0.00025513374265309153,2,-3.5266870197837763,-3.316093889393172,0.00010000122634171125,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-11-29T10:00:00,2055.89,60.67,2023-11-29T10:30:00,2048.12,60.27,0.002013659254390921,2,-3.0212977322881036,-2.7875781921952307,0.00010000122634171125,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-11-29T11:00:00,2053.26,60.7,2023-11-29T14:30:00,2036.25,60.12,0.0004708026762953128,8,-2.8935181818921385,-2.2992636817434247,0.00010000122634171125,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-03T00:30:00,2166.36,65.24,2023-12-03T01:00:00,2166.73,64.65,0.00841432498032515,2,-2.9689289781841994,-2.009062959029307,0.00010000007727203264,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-03T01:30:00,2169.41,65.18,2023-12-03T02:00:00,2167.23,64.75,0.0047922341680935125,2,-2.6055087399180303,-2.030796141860586,0.00010000007727203264,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T07:00:00,2253.21,63.95,2023-12-04T07:30:00,2246.3,63.69,-0.0017989404083916575,2,2.5394289819299987,2.5547321952295774,0.00010000003635707434,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T09:30:00,2245.89,63.22,2023-12-04T10:00:00,2255.3,63.54,7.181361026367195e-05,2,2.8924909951643327,2.7270001251799867,0.00010000002827772449,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T10:30:00,2260.18,62.95,2023-12-04T11:00:00,2228.52,61.27,-0.013480113600714194,2,3.4601952998645515,4.141355478670133,0.00010000002827772449,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T11:30:00,2237.52,62.11,2023-12-04T12:00:00,2240.09,61.59,-0.010320835880242551,2,3.298721986810901,3.7311333573226317,0.00010000002827772449,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T12:30:00,2252.94,61.81,2023-12-04T13:00:00,2246.2,61.0,-0.010913029147998276,2,3.6616463734476823,4.018243318235766,0.00010000002827772449,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T13:30:00,2239.34,60.59,2023-12-04T14:00:00,2217.55,60.32,0.004474364719252466,2,3.967614333993933,3.4914307713791173,0.00010000002827772449,regime_break
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T14:30:00,2225.24,61.02,2023-12-04T15:00:00,2214.02,60.75,-0.00018262600450544774,2,2.9542581573781006,2.823578864702373,0.00010000002827772449,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T15:30:00,2211.75,60.53,2023-12-04T16:30:00,2225.71,60.92,-0.0006686580210216502,3,2.850259265573346,2.6762183269848463,0.00010000002827772449,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2023-12-04T17:00:00,2223.88,60.76,2023-12-04T18:30:00,2224.28,60.41,-0.006740234483692742,4,2.6757630480818033,2.6863076167405238,0.00010000002199378572,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T03:00:00,2373.4,70.8,2023-12-08T03:30:00,2375.23,71.47,-0.00949223107901651,2,-2.9637093793609672,-3.202230181101855,0.00012820666844845166,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T04:00:00,2383.9,71.87,2023-12-08T04:30:00,2369.19,71.74,-0.005161739362439221,2,-3.1537536226930816,-3.198251400539425,0.00012820666844845166,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T05:00:00,2372.67,71.55,2023-12-08T05:30:00,2375.91,71.15,0.006156046359469669,2,-2.9280423071199437,-2.5850831228704165,0.00012820666844845166,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T06:00:00,2376.38,72.03,2023-12-08T06:30:00,2374.4,72.37,-0.006353455526547069,2,-2.9417659910849463,-3.036173542779172,0.00012820666844845166,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T07:00:00,2358.47,71.55,2023-12-08T07:30:00,2352.81,71.39,-0.0009636624641737639,2,-2.780394382947111,-2.700412800819189,0.00012820666844845166,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2023-12-08T08:00:00,2356.12,71.42,2023-12-08T08:30:00,2351.28,70.55,0.009327237033040192,2,-2.5884816833616062,-2.190756663046047,0.0001272696310154624,confluence_lost
