variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,kama_turn_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-04-29 14:42:00+00:00,147.98,2025-04-29 14:56:00+00:00,148.29,-0.0030948776861737795,14,hard_stop,-1,0.11394557823119054
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-04-29 15:13:00+00:00,148.03,2025-04-29 15:19:00+00:00,147.72,0.0010941701006552682,6,take_profit,-1,0.4416329284749494
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-29 15:27:00+00:00,147.87,2025-04-29 15:30:00+00:00,147.67,-0.0023525393927099616,3,hard_stop,1,0.4542160737813446
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-04-29 15:50:00+00:00,148.04,2025-04-29 16:06:00+00:00,148.25,-0.002418535530937737,16,hard_stop,-1,0.5672043010751155
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-30 09:20:00+00:00,147.16,2025-04-30 09:23:00+00:00,147.01,-0.0020192987224789674,3,hard_stop,1,0.04268292682922884
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-04-30 09:35:00+00:00,147.19,2025-04-30 09:45:00+00:00,146.97,0.0004946667572525163,10,take_profit,-1,0.24337748344375223
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-30 09:51:00+00:00,147.14,2025-04-30 10:01:00+00:00,147.02,-0.0018155498165011155,10,hard_stop,1,0.24448529411772504
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-30 10:26:00+00:00,147.15,2025-04-30 10:30:00+00:00,147.06,-0.0016116207951070152,4,hard_stop,1,0.1346153846152669
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-30 10:37:00+00:00,147.16,2025-04-30 10:40:00+00:00,147.34,0.00022315846697484962,3,take_profit,1,0.037234042553157716
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-04-30 22:01:00+00:00,146.87,2025-04-30 22:09:00+00:00,147.26,0.0016554095458568572,8,take_profit,1,0.4403225806451467
