variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,gross_pnl_pct,cost_pct,net_pnl_pct,bars_held,exit_reason,funding_ema_at_entry,half_at_entry,slope_4h_at_entry
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 22:46:00+00:00,51993.4,2024-02-19 22:48:00+00:00,51970.4,-0.00044236383848716976,0.001,-0.0014423638384871698,2,hard_stop,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 22:53:00+00:00,52005.7,2024-02-19 22:54:00+00:00,52024.1,0.0003538073711151224,0.001,-0.0006461926288848776,1,take_profit,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 22:59:00+00:00,51971.8,2024-02-19 23:00:00+00:00,51992.7,0.0004021411611681014,0.001,-0.0005978588388318986,1,take_profit,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:05:00+00:00,52005.6,2024-02-19 23:07:00+00:00,51985.3,-0.0003903425784914649,0.001,-0.001390342578491465,2,hard_stop,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:12:00+00:00,51982.4,2024-02-19 23:17:00+00:00,51954.0,-0.0005463387608113379,0.001,-0.001546338760811338,5,hard_stop,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:22:00+00:00,51860.0,2024-02-19 23:31:00+00:00,51827.9,-0.0006189741612031563,0.001,-0.0016189741612031563,9,hard_stop,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:36:00+00:00,51803.2,2024-02-19 23:38:00+00:00,51825.5,0.00043047533743090227,0.001,-0.0005695246625690977,2,take_profit,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:43:00+00:00,51793.1,2024-02-19 23:49:00+00:00,51772.1,-0.0004054594144780044,0.001,-0.0014054594144780044,6,hard_stop,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-19 23:54:00+00:00,51771.3,2024-02-19 23:58:00+00:00,51811.7,0.0007803551388509966,0.001,-0.0002196448611490034,4,take_profit,0.00013533240734154447,lower,45.47984635429748
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:03:00+00:00,51844.7,2024-02-20 00:05:00+00:00,51814.8,-0.0005767224036400398,0.001,-0.0015767224036400398,2,hard_stop,0.00013533240734154447,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:10:00+00:00,51852.8,2024-02-20 00:15:00+00:00,51796.9,-0.0010780517156258052,0.001,-0.002078051715625805,5,hard_stop,0.00013533240734154447,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:20:00+00:00,51825.7,2024-02-20 00:21:00+00:00,51795.3,-0.0005865815608857572,0.001,-0.0015865815608857572,1,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:26:00+00:00,51770.6,2024-02-20 00:28:00+00:00,51838.6,0.0013134868052524507,0.001,0.00031348680525245063,2,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 00:33:00+00:00,51869.0,2024-02-20 00:34:00+00:00,51830.8,-0.0007364707243247004,0.001,-0.0017364707243247004,1,hard_stop,0.0001325394612195859,lower,35.66102885021246
