symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,short,2024-07-17 08:00:00,2024-07-17 08:00:00,3486.49,2024-07-17 11:30:00,2024-07-17 11:30:00,3453.105,take_profit,83.7553,0.008376,14,london,0.5706,1.0,100000.0
ETHUSDT,long,2024-07-17 13:45:00,2024-07-17 13:45:00,3465.97,2024-07-17 15:45:00,2024-07-17 15:45:00,3436.17,hard_stop,-97.9788,-0.009798,8,london,0.4511,1.0,100000.0
ETHUSDT,short,2024-07-18 14:45:00,2024-07-18 14:45:00,3430.06,2024-07-18 22:45:00,2024-07-18 22:45:00,3431.8,time_stop,-17.0728,-0.001707,32,london,0.4948,1.0,100000.0
ETHUSDT,long,2024-07-19 09:15:00,2024-07-19 09:15:00,3394.18,2024-07-19 13:45:00,2024-07-19 13:45:00,3435.99,take_profit,111.1814,0.011118,18,london,0.5772,1.0,100000.0
ETHUSDT,long,2024-07-20 13:00:00,2024-07-20 13:00:00,3491.62,2024-07-20 17:45:00,2024-07-20 17:45:00,3525.55,take_profit,85.1755,0.008518,19,london,0.5587,1.0,100000.0
ETHUSDT,short,2024-07-21 08:00:00,2024-07-21 08:00:00,3484.675,2024-07-21 09:45:00,2024-07-21 09:45:00,3499.4,hard_stop,-54.2565,-0.005426,7,london,0.1326,1.0,100000.0
ETHUSDT,long,2024-07-21 14:30:00,2024-07-21 14:30:00,3508.075,2024-07-21 17:45:00,2024-07-21 17:45:00,3467.18,hard_stop,-128.5739,-0.012857,13,london,0.5643,1.0,100000.0
ETHUSDT,short,2024-07-21 19:45:00,2024-07-21 19:45:00,3489.0,2024-07-21 21:45:00,2024-07-21 21:45:00,3519.0,hard_stop,-97.9845,-0.009798,8,us,0.547,1.0,100000.0
ETHUSDT,short,2024-07-22 08:30:00,2024-07-22 08:30:00,3478.06,2024-07-22 10:15:00,2024-07-22 10:15:00,3495.41,hard_stop,-61.8841,-0.006188,7,london,0.5928,1.0,100000.0
ETHUSDT,short,2024-07-22 13:30:00,2024-07-22 13:30:00,3475.64,2024-07-22 19:45:00,2024-07-22 19:45:00,3497.36,hard_stop,-74.4921,-0.007449,25,london,0.57,1.0,100000.0
