symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2023-07-21 20:00:00,2023-07-21 20:00:00,29870.65,2023-07-22 00:15:00,2023-07-22 00:15:00,29920.0,hard_stop,-28.5212,-0.002852,17,us,0.0479,1.0,100000.0
BTCUSDT,short,2023-07-22 10:15:00,2023-07-22 10:15:00,29866.2,2023-07-22 18:15:00,2023-07-22 18:15:00,29813.0,time_stop,5.8128,0.000581,32,london,0.0022,1.0,100000.0
BTCUSDT,short,2023-07-23 08:00:00,2023-07-23 08:00:00,29892.25,2023-07-23 16:00:00,2023-07-23 16:00:00,29896.95,time_stop,-13.5723,-0.001357,32,london,0.4205,1.0,100000.0
BTCUSDT,short,2023-07-23 21:45:00,2023-07-23 21:45:00,29940.9,2023-07-23 23:00:00,2023-07-23 23:00:00,30029.35,hard_stop,-41.5415,-0.004154,5,us,0.2773,1.0,100000.0
BTCUSDT,short,2023-07-24 08:15:00,2023-07-24 08:15:00,29805.3,2023-07-24 09:30:00,2023-07-24 09:30:00,29443.95,take_profit,109.2368,0.010924,5,london,0.5648,1.0,100000.0
BTCUSDT,short,2023-07-24 13:15:00,2023-07-24 13:15:00,29201.2,2023-07-24 21:15:00,2023-07-24 21:15:00,29147.8,time_stop,6.2869,0.000629,32,london,0.146,1.0,100000.0
BTCUSDT,short,2023-07-25 11:45:00,2023-07-25 11:45:00,29117.6,2023-07-25 13:30:00,2023-07-25 13:30:00,29203.4,hard_stop,-41.4667,-0.004147,7,london,0.3146,1.0,100000.0
BTCUSDT,short,2023-07-25 15:45:00,2023-07-25 15:45:00,29167.0,2023-07-25 17:15:00,2023-07-25 17:15:00,29254.9,hard_stop,-42.1368,-0.004214,6,london,0.3125,1.0,100000.0
BTCUSDT,short,2023-07-25 19:15:00,2023-07-25 19:15:00,29242.5,2023-07-26 00:30:00,2023-07-26 00:30:00,29167.2,take_profit,13.7502,0.001375,21,us,0.4869,1.0,100000.0
BTCUSDT,short,2023-07-26 08:15:00,2023-07-26 08:15:00,29206.0,2023-07-26 13:30:00,2023-07-26 13:30:00,29271.65,hard_stop,-34.4783,-0.003448,21,london,0.0136,1.0,100000.0
BTCUSDT,short,2023-07-26 17:30:00,2023-07-26 17:30:00,29264.2,2023-07-26 20:00:00,2023-07-26 20:00:00,29426.0,hard_stop,-67.2894,-0.006729,10,us,0.5538,1.0,100000.0
BTCUSDT,short,2023-07-26 23:30:00,2023-07-26 23:30:00,29353.9,2023-07-27 04:15:00,2023-07-27 04:15:00,29435.0,hard_stop,-39.6284,-0.003963,19,us,0.5253,1.0,100000.0
BTCUSDT,short,2023-07-27 14:15:00,2023-07-27 14:15:00,29375.1,2023-07-27 17:30:00,2023-07-27 17:30:00,29238.3,take_profit,34.5701,0.003457,13,london,0.2676,1.0,100000.0
BTCUSDT,long,2023-07-28 08:00:00,2023-07-28 08:00:00,29146.55,2023-07-28 12:00:00,2023-07-28 12:00:00,29234.95,take_profit,18.3295,0.001833,16,london,0.1174,1.0,100000.0
BTCUSDT,short,2023-07-29 08:45:00,2023-07-29 08:45:00,29287.4,2023-07-29 16:45:00,2023-07-29 16:45:00,29296.3,time_stop,-15.0388,-0.001504,32,london,0.0804,1.0,100000.0
BTCUSDT,short,2023-07-29 18:45:00,2023-07-29 18:45:00,29297.1,2023-07-29 19:15:00,2023-07-29 19:15:00,29329.9,hard_stop,-23.1956,-0.00232,2,us,0.3474,1.0,100000.0
BTCUSDT,long,2023-07-30 08:00:00,2023-07-30 08:00:00,29286.25,2023-07-30 11:15:00,2023-07-30 11:15:00,29247.5,hard_stop,-25.2315,-0.002523,13,london,0.3638,1.0,100000.0
BTCUSDT,short,2023-07-30 13:15:00,2023-07-30 13:15:00,29292.5,2023-07-30 14:45:00,2023-07-30 14:45:00,29377.2,hard_stop,-40.9153,-0.004092,6,london,0.1714,1.0,100000.0
BTCUSDT,short,2023-07-30 16:45:00,2023-07-30 16:45:00,29367.4,2023-07-30 19:30:00,2023-07-30 19:30:00,29264.15,take_profit,23.158,0.002316,11,us,0.3658,1.0,100000.0
BTCUSDT,long,2023-07-30 23:15:00,2023-07-30 23:15:00,29250.5,2023-07-31 00:30:00,2023-07-31 00:30:00,29369.1,take_profit,28.5463,0.002855,5,us,0.1082,1.0,100000.0
