variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,z_entry,z_exit
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:22:00+00:00,2463.71,2025-05-19 16:23:00+00:00,2469.47,-0.002337937500761056,0.003,-0.005337937500761056,1,15m,1.0,high,hard_stop,2.1523339934044725,2.1523339934044725
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:28:00+00:00,2467.8,2025-05-19 16:30:00+00:00,2471.62,-0.0015479374341518248,0.003,-0.004547937434151825,2,15m,1.0,high,hard_stop,2.1523339934044725,2.2558659993773102
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:35:00+00:00,2467.93,2025-05-19 16:36:00+00:00,2464.35,0.0014506084046144174,0.003,-0.0015493915953855826,1,15m,1.0,high,take_profit,2.2558659993773102,2.2558659993773102
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:41:00+00:00,2468.67,2025-05-19 16:43:00+00:00,2472.32,-0.0014785289244816369,0.003,-0.004478528924481637,2,15m,1.0,high,hard_stop,2.2558659993773102,2.2558659993773102
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:48:00+00:00,2485.21,2025-05-19 16:49:00+00:00,2489.5,-0.0017262122718000317,0.003,-0.004726212271800032,1,15m,1.0,high,hard_stop,2.9125264403728566,2.9125264403728566
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:54:00+00:00,2494.11,2025-05-19 16:55:00+00:00,2501.02,-0.0027705273624658577,0.003,-0.005770527362465858,1,15m,1.0,high,hard_stop,2.9125264403728566,2.9125264403728566
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 17:00:00+00:00,2509.0,2025-05-19 17:01:00+00:00,2517.16,-0.0032522917497010972,0.003,-0.006252291749701097,1,15m,1.0,high,hard_stop,3.0580712093291678,3.0580712093291678
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 17:06:00+00:00,2522.59,2025-05-19 17:07:00+00:00,2530.13,-0.0029889914730494294,0.003,-0.005988991473049429,1,15m,1.0,high,hard_stop,3.0580712093291678,3.0580712093291678
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 17:12:00+00:00,2527.38,2025-05-19 17:16:00+00:00,2528.03,-0.0002571833281896918,0.003,-0.003257183328189692,4,15m,1.0,high,trailing_stop,3.0580712093291678,3.196605282836003
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 17:21:00+00:00,2522.98,2025-05-19 17:22:00+00:00,2532.44,-0.0037495342808899768,0.003,-0.006749534280889977,1,15m,1.0,high,hard_stop,3.196605282836003,3.196605282836003
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 17:27:00+00:00,2529.97,2025-05-19 17:31:00+00:00,2519.06,0.004312304098467501,0.003,0.001312304098467501,4,15m,1.0,high,take_profit,3.196605282836003,2.913715139484614
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 20:15:00+00:00,2492.11,2025-06-06 20:22:00+00:00,2495.27,-0.0012680018137241067,0.003,-0.004268001813724107,7,15m,1.0,high,hard_stop,5.897023180800935,5.897023180800935
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 20:27:00+00:00,2494.9,2025-06-06 20:31:00+00:00,2494.63,0.00010822077037153655,0.003,-0.0028917792296284635,4,15m,1.0,high,take_profit,5.897023180800935,5.376586101004713
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 20:36:00+00:00,2498.08,2025-06-06 20:42:00+00:00,2503.23,-0.002061583295971392,0.003,-0.005061583295971392,6,15m,1.0,high,hard_stop,5.376586101004713,5.376586101004713
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 20:47:00+00:00,2499.66,2025-06-06 20:49:00+00:00,2495.54,0.001648224158485534,0.003,-0.0013517758415144661,2,15m,1.0,high,take_profit,4.660857312688539,4.660857312688539
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 20:54:00+00:00,2499.74,2025-06-06 21:01:00+00:00,2495.19,0.0018201892996870805,0.003,-0.0011798107003129195,7,15m,1.0,high,take_profit,4.660857312688539,4.03097796052528
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 21:06:00+00:00,2492.89,2025-06-06 21:08:00+00:00,2492.55,0.00013638788715097938,0.003,-0.0028636121128490207,2,15m,1.0,high,trailing_stop,4.03097796052528,4.03097796052528
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 21:13:00+00:00,2490.05,2025-06-06 21:14:00+00:00,2487.95,0.0008433565591053904,0.003,-0.0021566434408946096,1,15m,1.0,high,take_profit,4.03097796052528,4.03097796052528
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 21:19:00+00:00,2488.43,2025-06-06 21:20:00+00:00,2490.39,-0.0007876452220878516,0.003,-0.0037876452220878517,1,15m,1.0,high,hard_stop,3.7500544889115526,3.7500544889115526
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-06-06 21:25:00+00:00,2489.91,2025-06-06 21:26:00+00:00,2487.01,0.0011647007321547997,0.003,-0.0018352992678452003,1,15m,1.0,high,take_profit,3.7500544889115526,3.7500544889115526
