variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,z_entry,z_exit
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:54:00+00:00,64500.2,2024-08-02 04:55:00+00:00,64503.8,-5.5813780422520054e-05,0.003,-0.00305581378042252,1,15m,1.0,high,hard_stop,2.5146169890273944,2.5146169890273944
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 05:00:00+00:00,64518.3,2024-08-02 05:01:00+00:00,64476.7,0.0006447783032101917,0.003,-0.0023552216967898084,1,15m,1.0,high,take_profit,2.1157902237876094,2.1157902237876094
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 05:06:00+00:00,64410.6,2024-08-02 05:07:00+00:00,64388.2,0.0003477688455005845,0.003,-0.0026522311544994156,1,15m,1.0,high,take_profit,2.1157902237876094,2.1157902237876094
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 05:12:00+00:00,64346.9,2024-08-02 05:14:00+00:00,64303.2,0.0006791313956072687,0.003,-0.0023208686043927314,2,15m,1.0,high,take_profit,2.1157902237876094,2.1157902237876094
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 05:19:00+00:00,64293.8,2024-08-02 05:20:00+00:00,64260.7,0.000514824135453229,0.003,-0.002485175864546771,1,15m,1.0,high,take_profit,2.217233028866269,2.217233028866269
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 05:25:00+00:00,64419.9,2024-08-02 05:28:00+00:00,64477.7,-0.0008972382757501673,0.003,-0.0038972382757501674,3,15m,1.0,high,hard_stop,2.217233028866269,2.217233028866269
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:15:00+00:00,63973.0,2024-08-24 16:19:00+00:00,64055.9,0.0012958591905960493,0.003,-0.0017041408094039508,4,15m,1.0,high,take_profit,-3.70403716512579,-3.70403716512579
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:24:00+00:00,64066.0,2024-08-24 16:25:00+00:00,64124.0,0.0009053163924701568,0.003,-0.0020946836075298432,1,15m,1.0,high,take_profit,-3.70403716512579,-3.70403716512579
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:30:00+00:00,64250.0,2024-08-24 16:32:00+00:00,64210.7,-0.0006116731517510354,0.003,-0.0036116731517510355,2,15m,1.0,high,hard_stop,-3.751933611753662,-3.751933611753662
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:37:00+00:00,64366.5,2024-08-24 16:38:00+00:00,64318.8,-0.0007410687236372171,0.003,-0.003741068723637217,1,15m,1.0,high,hard_stop,-3.751933611753662,-3.751933611753662
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:43:00+00:00,64251.3,2024-08-24 16:44:00+00:00,64156.9,-0.0014692309727585284,0.003,-0.0044692309727585285,1,15m,1.0,high,hard_stop,-3.751933611753662,-3.751933611753662
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 16:49:00+00:00,64210.0,2024-08-24 16:55:00+00:00,64224.5,0.00022582152312722314,0.003,-0.002774178476872777,6,15m,1.0,high,trailing_stop,-3.4869950909191125,-3.4869950909191125
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 17:00:00+00:00,64258.3,2024-08-24 17:01:00+00:00,64251.7,-0.00010271046697474251,0.003,-0.0031027104669747426,1,15m,1.0,high,hard_stop,-3.496037517841958,-3.496037517841958
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 17:06:00+00:00,64138.2,2024-08-24 17:07:00+00:00,64193.8,0.000866878085135081,0.003,-0.002133121914864919,1,15m,1.0,high,take_profit,-3.496037517841958,-3.496037517841958
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 17:12:00+00:00,64208.3,2024-08-24 17:15:00+00:00,64190.8,-0.0002725504335109319,0.003,-0.003272550433510932,3,15m,1.0,high,hard_stop,-3.496037517841958,-3.597076243897506
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 17:20:00+00:00,64160.6,2024-08-24 17:21:00+00:00,64158.6,-3.117177831879481e-05,0.003,-0.003031171778318795,1,15m,1.0,high,hard_stop,-3.597076243897506,-3.597076243897506
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-08-24 17:26:00+00:00,64068.9,2024-08-24 17:28:00+00:00,64071.0,3.277721328132088e-05,0.003,-0.002967222786718679,2,15m,1.0,high,hard_stop,-3.597076243897506,-3.597076243897506
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:15:00+00:00,58184.5,2024-09-13 00:17:00+00:00,58126.9,-0.0009899543692907242,0.003,-0.003989954369290724,2,15m,1.0,high,hard_stop,-2.2463550064485647,-2.2463550064485647
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:22:00+00:00,58060.1,2024-09-13 00:23:00+00:00,58025.8,-0.0005907671533461611,0.003,-0.003590767153346161,1,15m,1.0,high,hard_stop,-2.2463550064485647,-2.2463550064485647
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:28:00+00:00,58035.6,2024-09-13 00:32:00+00:00,58098.2,0.0010786482779534534,0.003,-0.0019213517220465466,4,15m,1.0,high,take_profit,-2.2463550064485647,-1.9823814402162592
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:45:00+00:00,58130.0,2024-09-13 00:47:00+00:00,58178.6,0.0008360571133665395,0.003,-0.0021639428866334605,2,15m,1.0,high,take_profit,-2.2903487752108056,-2.2903487752108056
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:52:00+00:00,58099.9,2024-09-13 00:53:00+00:00,58066.3,-0.0005783142483893888,0.003,-0.003578314248389389,1,15m,1.0,high,hard_stop,-2.2903487752108056,-2.2903487752108056
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 00:58:00+00:00,57991.0,2024-09-13 01:00:00+00:00,58035.0,0.0007587384249279072,0.003,-0.002241261575072093,2,15m,1.0,high,trailing_stop,-2.2903487752108056,-2.5782678159908614
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 01:05:00+00:00,57876.2,2024-09-13 01:07:00+00:00,57895.1,0.00032655910374224106,0.003,-0.002673440896257759,2,15m,1.0,high,take_profit,-2.5782678159908614,-2.5782678159908614
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 01:12:00+00:00,57894.9,2024-09-13 01:15:00+00:00,57921.2,0.0004542714470530118,0.003,-0.0025457285529469883,3,15m,1.0,high,trailing_stop,-2.5782678159908614,-2.2809856064093887
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-13 01:20:00+00:00,57920.0,2024-09-13 01:31:00+00:00,57934.8,0.00025552486187851997,0.003,-0.00274447513812148,11,15m,1.0,high,trailing_stop,-2.2809856064093887,-2.2574914211150316
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:15:00+00:00,63379.9,2024-09-20 08:20:00+00:00,63440.2,0.0009514057295767486,0.003,-0.0020485942704232514,5,15m,1.0,high,take_profit,-3.9733228591318226,-3.9733228591318226
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:25:00+00:00,63442.1,2024-09-20 08:26:00+00:00,63397.0,-0.0007108844127164948,0.003,-0.003710884412716495,1,15m,1.0,high,hard_stop,-3.9733228591318226,-3.9733228591318226
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:31:00+00:00,63176.7,2024-09-20 08:32:00+00:00,63164.6,-0.00019152630637553347,0.003,-0.0031915263063755335,1,15m,1.0,high,take_profit,-3.650265589651794,-3.650265589651794
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:37:00+00:00,63100.4,2024-09-20 08:40:00+00:00,63206.4,0.0016798625682246104,0.003,-0.0013201374317753896,3,15m,1.0,high,take_profit,-3.650265589651794,-3.650265589651794
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:45:00+00:00,63245.3,2024-09-20 08:48:00+00:00,63293.5,0.0007621119672134302,0.003,-0.00223788803278657,3,15m,1.0,high,take_profit,-3.384821551811381,-3.384821551811381
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 08:53:00+00:00,63314.9,2024-09-20 08:55:00+00:00,63277.0,-0.0005985952753617685,0.003,-0.0035985952753617685,2,15m,1.0,high,hard_stop,-3.384821551811381,-3.384821551811381
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 09:00:00+00:00,63273.9,2024-09-20 09:01:00+00:00,63248.0,-0.0004093314937122505,0.003,-0.0034093314937122506,1,15m,1.0,high,hard_stop,-3.080215084805853,-3.080215084805853
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 09:06:00+00:00,63345.5,2024-09-20 09:07:00+00:00,63345.9,6.314576410426653e-06,0.003,-0.0029936854235895734,1,15m,1.0,high,hard_stop,-3.080215084805853,-3.080215084805853
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 09:12:00+00:00,63357.3,2024-09-20 09:15:00+00:00,63402.0,0.0007055224891212575,0.003,-0.0022944775108787426,3,15m,1.0,high,take_profit,-3.080215084805853,-2.8293802421879115
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 09:20:00+00:00,63417.6,2024-09-20 09:21:00+00:00,63397.0,-0.00032483096175195403,0.003,-0.003324830961751954,1,15m,1.0,high,hard_stop,-2.8293802421879115,-2.8293802421879115
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-09-20 09:26:00+00:00,63431.1,2024-09-20 09:29:00+00:00,63435.5,6.936660407919071e-05,0.003,-0.0029306333959208094,3,15m,1.0,high,trailing_stop,-2.8293802421879115,-2.8293802421879115
